Method,Name,Error,Occurrences
GET,/wishlist/wishlist/9b31003e-422d-48ff-9f01-7ce0c6d5c32f,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/9b31003e-422d-48ff-9f01-7ce0c6d5c32f'),1
GET,/wishlist/wishlist/919022be-5146-4f64-af01-5f6987711fd2,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/919022be-5146-4f64-af01-5f6987711fd2'),1
GET,/wishlist/wishlist/485c40ce-5562-4733-853a-6810d571f71c,HTTPError('404 Client Error: Not Found for url: /wishlist/wishlist/485c40ce-5562-4733-853a-6810d571f71c'),1
DELETE,/wishlist/wishlist/308670b3-4b0d-4b9a-8dbb-7db934a78a58,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/wishlist/308670b3-4b0d-4b9a-8dbb-7db934a78a58'),1
GET,/wishlist/wishlist/470f066b-d62a-419d-a57f-5f04a0557359,HTTPError('404 Client Error: Not Found for url: /wishlist/wishlist/470f066b-d62a-419d-a57f-5f04a0557359'),1
PUT,/wishlist/wishlist/5c88e8ed-f3ac-4daa-9ced-f6364a640606,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/5c88e8ed-f3ac-4daa-9ced-f6364a640606'),1
DELETE,/wishlist/wishlist/967f4181-fc3a-4bb9-927b-68dd4de2b48e,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/wishlist/967f4181-fc3a-4bb9-927b-68dd4de2b48e'),1
GET,/wishlist/wishlist/b738097c-097d-4f46-ae2e-7b97069c363b,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/b738097c-097d-4f46-ae2e-7b97069c363b'),1
DELETE,/wishlist/wishlist/58e53323-b0db-4f26-9a77-e7f12d0ca75c,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/58e53323-b0db-4f26-9a77-e7f12d0ca75c'),1
GET,/wishlist/wishlist/2b9c7de7-b08e-46f8-b68a-6e8954f15869,HTTPError('404 Client Error: Not Found for url: /wishlist/wishlist/2b9c7de7-b08e-46f8-b68a-6e8954f15869'),2
GET,/wishlist/wishlist/7b490660-01cc-4b0f-9e4c-d0a08a7903f2,HTTPError('404 Client Error: Not Found for url: /wishlist/wishlist/7b490660-01cc-4b0f-9e4c-d0a08a7903f2'),1
POST,/wishlist/wishlist/add,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/wishlist/add'),44
DELETE,/wishlist/wishlist/f114bf28-f02f-4101-9bfc-f199230364fc,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/f114bf28-f02f-4101-9bfc-f199230364fc'),1
DELETE,/wishlist/wishlist/2cae8fce-493f-4e95-9cc1-e2a29b09bc8d,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/2cae8fce-493f-4e95-9cc1-e2a29b09bc8d'),1
GET,/wishlist/wishlist/5689524b-85df-4a47-b379-a46def634538,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/5689524b-85df-4a47-b379-a46def634538'),1
DELETE,/wishlist/wishlist/f3509e36-69be-406a-8a03-c4bbf111b09e,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/wishlist/f3509e36-69be-406a-8a03-c4bbf111b09e'),1
DELETE,/wishlist/wishlist/ac026801-63c0-4bfe-9534-1dcc4d58eeea,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/wishlist/ac026801-63c0-4bfe-9534-1dcc4d58eeea'),1
DELETE,/wishlist/wishlist/8585f261-b694-4e98-ab4c-1713c49d13f9,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/wishlist/8585f261-b694-4e98-ab4c-1713c49d13f9'),1
DELETE,/wishlist/wishlist/b7e8f5f0-f5d4-4011-980c-a40e86991afd,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/wishlist/b7e8f5f0-f5d4-4011-980c-a40e86991afd'),2
DELETE,/wishlist/wishlist/919022be-5146-4f64-af01-5f6987711fd2,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/wishlist/919022be-5146-4f64-af01-5f6987711fd2'),1
