Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/user/login,2605,578,700.0,1040.7833054380178,27.14832799938449,8220.063413999924,219.09673704414587,4.348865002738092,0.964930507325381,700,1300,1600,1800,2300,2800,3400,3800,5900,8200,8200
POST,/auth/user/register,2612,356,1000.0,1524.4478720390553,51.39603099996748,9796.9449659995,252.86830015313936,4.360551012342379,0.5943170598751482,1000,1800,2200,2600,3400,4200,5300,6100,8900,9800,9800
GET,/products/product,2605,0,30,35.57021792896853,26.234770999508328,553.6255699998947,264.0,4.348865002738092,0.0,30,31,33,34,44,55,85,170,330,550,550
GET,/wishlist/wishlist,2552,434,130.0,419.85368920219537,32.303242000125465,6931.254836000335,167.38518808777428,4.260385215734208,0.7245325954657705,130,300,500,660,1100,1700,2500,3100,6300,6900,6900
POST,/wishlist/wishlist,2562,453,160.0,423.7687343469948,33.55815199938661,8858.748972000285,173.52693208430912,4.277079515168904,0.7562517643916913,160,310,510,660,1100,1700,2500,3000,6200,8900,8900
DELETE,/wishlist/wishlist/00141135-80dc-4ee0-90ef-d5fbe0f2c1d5,1,0,50.776804999259184,50.776804999259184,50.776804999259184,50.776804999259184,213.0,0.0016694299434695172,0.0,51,51,51,51,51,51,51,51,51,51,51
GET,/wishlist/wishlist/00141135-80dc-4ee0-90ef-d5fbe0f2c1d5,1,0,130.34138400053052,130.34138400053052,130.34138400053052,130.34138400053052,150.0,0.0016694299434695172,0.0,130,130,130,130,130,130,130,130,130,130,130
PUT,/wishlist/wishlist/00141135-80dc-4ee0-90ef-d5fbe0f2c1d5,1,0,40.08968000016466,40.08968000016466,40.08968000016466,40.08968000016466,113.0,0.0016694299434695172,0.0,40,40,40,40,40,40,40,40,40,40,40
DELETE,/wishlist/wishlist/0026f05f-ad26-405e-917e-9f242f5bccd1,1,1,36.047468000106164,36.047468000106164,36.047468000106164,36.047468000106164,167.0,0.0016694299434695172,0.0016694299434695172,36,36,36,36,36,36,36,36,36,36,36
GET,/wishlist/wishlist/0026f05f-ad26-405e-917e-9f242f5bccd1,1,1,5799.79774200001,5799.79774200001,5799.79774200001,5799.79774200001,27.0,0.0016694299434695172,0.0016694299434695172,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800,5800
PUT,/wishlist/wishlist/0026f05f-ad26-405e-917e-9f242f5bccd1,1,0,75.34524299990153,75.34524299990153,75.34524299990153,75.34524299990153,113.0,0.0016694299434695172,0.0,75,75,75,75,75,75,75,75,75,75,75
DELETE,/wishlist/wishlist/00292d5f-4f81-4df5-9334-7fdcf8bbb06c,1,0,33.01809999902616,33.01809999902616,33.01809999902616,33.01809999902616,213.0,0.0016694299434695172,0.0,33,33,33,33,33,33,33,33,33,33,33
GET,/wishlist/wishlist/00292d5f-4f81-4df5-9334-7fdcf8bbb06c,1,0,293.15196799961996,293.15196799961996,293.15196799961996,293.15196799961996,150.0,0.0016694299434695172,0.0,290,290,290,290,290,290,290,290,290,290,290
PUT,/wishlist/wishlist/00292d5f-4f81-4df5-9334-7fdcf8bbb06c,1,0,63.817406999987725,63.817406999987725,63.817406999987725,63.817406999987725,113.0,0.0016694299434695172,0.0,64,64,64,64,64,64,64,64,64,64,64
DELETE,/wishlist/wishlist/0088c345-5bfa-48ed-aafa-59bad22e3a6b,3,2,400.0,459.1048433333829,59.42795499959175,920.397669000522,137.33333333333334,0.005008289830408552,0.0033388598869390344,400,400,920,920,920,920,920,920,920,920,920
GET,/wishlist/wishlist/0088c345-5bfa-48ed-aafa-59bad22e3a6b,3,1,200.0,175.4162996667219,97.0426870007941,229.19172899946716,110.33333333333333,0.005008289830408552,0.0016694299434695172,200,200,230,230,230,230,230,230,230,230,230
PUT,/wishlist/wishlist/0088c345-5bfa-48ed-aafa-59bad22e3a6b,3,0,1200.0,1012.6414176669035,298.70516900064104,1552.0204809999996,75.33333333333333,0.005008289830408552,0.0,1200,1200,1600,1600,1600,1600,1600,1600,1600,1600,1600
DELETE,/wishlist/wishlist/0092b090-01e7-439e-80c6-fa9d1a2d592f,1,0,562.2126620000927,562.2126620000927,562.2126620000927,562.2126620000927,213.0,0.0016694299434695172,0.0,560,560,560,560,560,560,560,560,560,560,560
GET,/wishlist/wishlist/0092b090-01e7-439e-80c6-fa9d1a2d592f,1,1,1236.6227590000562,1236.6227590000562,1236.6227590000562,1236.6227590000562,31.0,0.0016694299434695172,0.0016694299434695172,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
PUT,/wishlist/wishlist/0092b090-01e7-439e-80c6-fa9d1a2d592f,1,0,581.6633929998716,581.6633929998716,581.6633929998716,581.6633929998716,113.0,0.0016694299434695172,0.0,580,580,580,580,580,580,580,580,580,580,580
DELETE,/wishlist/wishlist/00a6b701-df01-446a-a67d-861724179d06,1,0,42.28624000097625,42.28624000097625,42.28624000097625,42.28624000097625,213.0,0.0016694299434695172,0.0,42,42,42,42,42,42,42,42,42,42,42
GET,/wishlist/wishlist/00a6b701-df01-446a-a67d-861724179d06,1,0,41.40821100008907,41.40821100008907,41.40821100008907,41.40821100008907,150.0,0.0016694299434695172,0.0,41,41,41,41,41,41,41,41,41,41,41
PUT,/wishlist/wishlist/00a6b701-df01-446a-a67d-861724179d06,1,0,157.5896729991655,157.5896729991655,157.5896729991655,157.5896729991655,113.0,0.0016694299434695172,0.0,160,160,160,160,160,160,160,160,160,160,160
DELETE,/wishlist/wishlist/00da5631-ecc2-4932-8a4c-5b52e1c5d424,1,1,2192.3015840002336,2192.3015840002336,2192.3015840002336,2192.3015840002336,27.0,0.0016694299434695172,0.0016694299434695172,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
GET,/wishlist/wishlist/00da5631-ecc2-4932-8a4c-5b52e1c5d424,1,1,154.56994099986332,154.56994099986332,154.56994099986332,154.56994099986332,27.0,0.0016694299434695172,0.0016694299434695172,150,150,150,150,150,150,150,150,150,150,150
PUT,/wishlist/wishlist/00da5631-ecc2-4932-8a4c-5b52e1c5d424,1,0,137.4881780002397,137.4881780002397,137.4881780002397,137.4881780002397,113.0,0.0016694299434695172,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/wishlist/wishlist/00e55c9f-b77a-4585-9cf9-40e8aba222a3,1,0,37.61511500033521,37.61511500033521,37.61511500033521,37.61511500033521,213.0,0.0016694299434695172,0.0,38,38,38,38,38,38,38,38,38,38,38
GET,/wishlist/wishlist/00e55c9f-b77a-4585-9cf9-40e8aba222a3,1,0,100.05047600043326,100.05047600043326,100.05047600043326,100.05047600043326,150.0,0.0016694299434695172,0.0,100,100,100,100,100,100,100,100,100,100,100
PUT,/wishlist/wishlist/00e55c9f-b77a-4585-9cf9-40e8aba222a3,1,0,1535.96454000035,1535.96454000035,1535.96454000035,1535.96454000035,113.0,0.0016694299434695172,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
DELETE,/wishlist/wishlist/00eca754-4479-436d-bf08-2d7ea69ce5a7,1,0,112.59539000002405,112.59539000002405,112.59539000002405,112.59539000002405,213.0,0.0016694299434695172,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/wishlist/wishlist/00eca754-4479-436d-bf08-2d7ea69ce5a7,1,1,1299.491152999508,1299.491152999508,1299.491152999508,1299.491152999508,31.0,0.0016694299434695172,0.0016694299434695172,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
PUT,/wishlist/wishlist/00eca754-4479-436d-bf08-2d7ea69ce5a7,1,0,131.5541750000193,131.5541750000193,131.5541750000193,131.5541750000193,113.0,0.0016694299434695172,0.0,130,130,130,130,130,130,130,130,130,130,130
DELETE,/wishlist/wishlist/00ecfe5a-33ce-481e-ab46-97ceaeb73ef3,1,0,82.52147100029106,82.52147100029106,82.52147100029106,82.52147100029106,213.0,0.0016694299434695172,0.0,83,83,83,83,83,83,83,83,83,83,83
GET,/wishlist/wishlist/00ecfe5a-33ce-481e-ab46-97ceaeb73ef3,1,1,1286.5610290000404,1286.5610290000404,1286.5610290000404,1286.5610290000404,27.0,0.0016694299434695172,0.0016694299434695172,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
PUT,/wishlist/wishlist/00ecfe5a-33ce-481e-ab46-97ceaeb73ef3,1,0,129.09954499991727,129.09954499991727,129.09954499991727,129.09954499991727,113.0,0.0016694299434695172,0.0,130,130,130,130,130,130,130,130,130,130,130
DELETE,/wishlist/wishlist/011520f6-cc59-4290-933f-8f5571a2b17b,2,1,510.0,1346.915136000007,506.1706579999736,2187.65961400004,120.0,0.0033388598869390344,0.0016694299434695172,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
GET,/wishlist/wishlist/011520f6-cc59-4290-933f-8f5571a2b17b,2,2,1100.0,1376.409509000041,1086.421879000227,1666.397138999855,27.0,0.0033388598869390344,0.0033388598869390344,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
PUT,/wishlist/wishlist/011520f6-cc59-4290-933f-8f5571a2b17b,2,0,95,578.2180044998313,94.76030599944352,1061.675703000219,113.0,0.0033388598869390344,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
DELETE,/wishlist/wishlist/016d0513-581a-4fdc-9537-362d249a4b50,2,1,300.0,658.194965000348,296.74622299990006,1019.643707000796,120.0,0.0033388598869390344,0.0016694299434695172,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
GET,/wishlist/wishlist/016d0513-581a-4fdc-9537-362d249a4b50,2,1,160.0,697.6311484995676,159.05390299940336,1236.208393999732,90.5,0.0033388598869390344,0.0016694299434695172,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
PUT,/wishlist/wishlist/016d0513-581a-4fdc-9537-362d249a4b50,2,0,39,402.5809455001763,38.92707300019538,766.2348180001572,56.5,0.0033388598869390344,0.0,770,770,770,770,770,770,770,770,770,770,770
