Method,Name,Error,Occurrences
PUT,/wishlist/wishlist/c2bbc390-9533-46a7-aa09-755238493524,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/c2bbc390-9533-46a7-aa09-755238493524'),1
GET,/wishlist/wishlist/0c9de83d-717c-4bd9-b0bb-60f7aa928e70,HTTPError('404 Client Error: Not Found for url: /wishlist/wishlist/0c9de83d-717c-4bd9-b0bb-60f7aa928e70'),1
DELETE,/wishlist/wishlist/9c46f662-c340-40ff-a689-3cf572a5d94f,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/wishlist/9c46f662-c340-40ff-a689-3cf572a5d94f'),1
GET,/wishlist/wishlist/122456bc-5f14-42bf-a214-21ffbd576533,HTTPError('404 Client Error: Not Found for url: /wishlist/wishlist/122456bc-5f14-42bf-a214-21ffbd576533'),1
PUT,/wishlist/wishlist/739e5e1f-04c6-48ab-bd13-b420dbc519a5,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/739e5e1f-04c6-48ab-bd13-b420dbc519a5'),1
GET,/wishlist/wishlist/0c9846e2-0aa5-480c-8791-42effab96ca9,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/0c9846e2-0aa5-480c-8791-42effab96ca9'),1
GET,/wishlist/wishlist/a723ee95-4781-4e78-9ff7-9db990634ff2,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/a723ee95-4781-4e78-9ff7-9db990634ff2'),1
DELETE,/wishlist/wishlist/7fc2c74b-eb8f-4268-a9ec-e38fab1b10ba,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/7fc2c74b-eb8f-4268-a9ec-e38fab1b10ba'),1
GET,/wishlist/wishlist/4b451d1c-4724-4c82-ac4c-66123a33cb3d,HTTPError('404 Client Error: Not Found for url: /wishlist/wishlist/4b451d1c-4724-4c82-ac4c-66123a33cb3d'),1
PUT,/wishlist/wishlist/ce559261-e6a3-4e3c-bc10-00319a1cf4cb,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/ce559261-e6a3-4e3c-bc10-00319a1cf4cb'),1
DELETE,/wishlist/wishlist/89e664aa-821d-49fc-812b-ff5da84473f1,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/wishlist/89e664aa-821d-49fc-812b-ff5da84473f1'),1
PUT,/wishlist/wishlist/3fe1243f-65b0-48fb-bc83-24eedea13a0c,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/3fe1243f-65b0-48fb-bc83-24eedea13a0c'),1
GET,/wishlist/wishlist/1c44aed8-5fd5-4387-828e-d3c454473ffb,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/1c44aed8-5fd5-4387-828e-d3c454473ffb'),1
GET,/wishlist/wishlist/b8ea0e39-c2fe-4209-9664-4969e2a60d5f,HTTPError('404 Client Error: Not Found for url: /wishlist/wishlist/b8ea0e39-c2fe-4209-9664-4969e2a60d5f'),1
GET,/wishlist/wishlist/9c46f662-c340-40ff-a689-3cf572a5d94f,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/9c46f662-c340-40ff-a689-3cf572a5d94f'),1
POST,/wishlist/wishlist/add,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/wishlist/add'),94
