Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/user/login,2849,322,4100.0,5871.350874803434,24.093570998957148,27068.57003100231,242.6988416988417,4.754800449423279,0.5373975937923117,4100,7500,9900,11000,14000,16000,19000,21000,24000,27000,27000
POST,/auth/user/register,2930,198,8800.0,12944.350676974444,12.158681001892546,60048.31294299947,267.72218430034127,4.889984316184699,0.33044945208347115,8800,17000,22000,25000,33000,36000,39000,41000,60000,60000,60000
GET,/products/product,2848,0,25,28.725793277788632,20.54639099878841,536.2902300003043,264.0,4.753131512796595,0.0,25,26,28,29,35,43,68,110,280,540,540
GET,/wishlist/wishlist,2686,171,830.0,2181.391352480631,28.36121400105185,56953.91513700088,188.74758004467608,4.482763779273755,0.2853881631629978,830,1700,2700,3800,6100,8600,12000,14000,39000,57000,57000
POST,/wishlist/wishlist,2726,166,780.0,2158.214644958192,28.519359999336302,56560.89935899945,194.1606749816581,4.549521244341123,0.2770434800295768,780,1600,2700,3700,6300,8700,12000,14000,40000,57000,57000
DELETE,/wishlist/wishlist/0009a7a9-f9aa-4a18-b790-82f565b50b82,1,0,824.1574899984698,824.1574899984698,824.1574899984698,824.1574899984698,213.0,0.0016689366266841976,0.0,820,820,820,820,820,820,820,820,820,820,820
GET,/wishlist/wishlist/0009a7a9-f9aa-4a18-b790-82f565b50b82,1,0,349.2045370003325,349.2045370003325,349.2045370003325,349.2045370003325,150.0,0.0016689366266841976,0.0,350,350,350,350,350,350,350,350,350,350,350
PUT,/wishlist/wishlist/0009a7a9-f9aa-4a18-b790-82f565b50b82,1,0,869.3619890000264,869.3619890000264,869.3619890000264,869.3619890000264,113.0,0.0016689366266841976,0.0,870,870,870,870,870,870,870,870,870,870,870
DELETE,/wishlist/wishlist/002f2a02-b2fc-4a43-9d45-7069dd9ec802,1,0,206.87776100021438,206.87776100021438,206.87776100021438,206.87776100021438,213.0,0.0016689366266841976,0.0,210,210,210,210,210,210,210,210,210,210,210
GET,/wishlist/wishlist/002f2a02-b2fc-4a43-9d45-7069dd9ec802,1,0,36.09134799989988,36.09134799989988,36.09134799989988,36.09134799989988,150.0,0.0016689366266841976,0.0,36,36,36,36,36,36,36,36,36,36,36
PUT,/wishlist/wishlist/002f2a02-b2fc-4a43-9d45-7069dd9ec802,1,0,127.16327000089223,127.16327000089223,127.16327000089223,127.16327000089223,113.0,0.0016689366266841976,0.0,130,130,130,130,130,130,130,130,130,130,130
DELETE,/wishlist/wishlist/005ebf61-50e1-4646-a1a3-f8e570f711d7,1,0,31.37766099825967,31.37766099825967,31.37766099825967,31.37766099825967,213.0,0.0016689366266841976,0.0,31,31,31,31,31,31,31,31,31,31,31
GET,/wishlist/wishlist/005ebf61-50e1-4646-a1a3-f8e570f711d7,1,0,39.90187499948661,39.90187499948661,39.90187499948661,39.90187499948661,150.0,0.0016689366266841976,0.0,40,40,40,40,40,40,40,40,40,40,40
PUT,/wishlist/wishlist/005ebf61-50e1-4646-a1a3-f8e570f711d7,1,0,77.76813900272828,77.76813900272828,77.76813900272828,77.76813900272828,113.0,0.0016689366266841976,0.0,78,78,78,78,78,78,78,78,78,78,78
DELETE,/wishlist/wishlist/00716340-ac34-4803-9364-fd9ae29d4872,1,0,96.72245700130588,96.72245700130588,96.72245700130588,96.72245700130588,213.0,0.0016689366266841976,0.0,97,97,97,97,97,97,97,97,97,97,97
GET,/wishlist/wishlist/00716340-ac34-4803-9364-fd9ae29d4872,1,0,378.65070599946193,378.65070599946193,378.65070599946193,378.65070599946193,150.0,0.0016689366266841976,0.0,380,380,380,380,380,380,380,380,380,380,380
PUT,/wishlist/wishlist/00716340-ac34-4803-9364-fd9ae29d4872,1,0,2020.896473997709,2020.896473997709,2020.896473997709,2020.896473997709,113.0,0.0016689366266841976,0.0,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
DELETE,/wishlist/wishlist/0086bc8b-e1d8-4ed5-af37-45517e165e8a,1,0,228.15877200264367,228.15877200264367,228.15877200264367,228.15877200264367,213.0,0.0016689366266841976,0.0,230,230,230,230,230,230,230,230,230,230,230
GET,/wishlist/wishlist/0086bc8b-e1d8-4ed5-af37-45517e165e8a,1,0,41.55611800160841,41.55611800160841,41.55611800160841,41.55611800160841,150.0,0.0016689366266841976,0.0,42,42,42,42,42,42,42,42,42,42,42
PUT,/wishlist/wishlist/0086bc8b-e1d8-4ed5-af37-45517e165e8a,1,0,138.54119399911724,138.54119399911724,138.54119399911724,138.54119399911724,113.0,0.0016689366266841976,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/wishlist/wishlist/008e4c20-ae5b-44ca-835b-761d4d1eb691,1,0,1206.7010879982263,1206.7010879982263,1206.7010879982263,1206.7010879982263,213.0,0.0016689366266841976,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
