Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/user/login,2965,263,2500.0,6087.827126855652,25.288159000410815,60027.33307100061,248.77639123102867,4.9485226463569525,0.4389414691372272,2500,8000,11000,12000,16000,20000,23000,24000,29000,60000,60000
POST,/auth/user/register,3042,153,2900.0,12852.206957858605,46.054421000008006,60676.37115999969,271.6663379355687,5.077034027054924,0.2553537824258394,3000,15000,24000,30000,38000,46000,51000,54000,60000,61000,61000
GET,/products/product,2963,0,30,39.23487136011053,26.207402999716578,552.603726999223,264.0,4.945184688416746,0.0,30,32,34,38,53,79,120,200,550,550,550
GET,/wishlist/wishlist,2836,130,370.0,1789.8779821660946,33.680180998999276,60152.64029100035,193.50423131170663,4.733224359213598,0.2169672661134583,370,810,1300,1900,4900,9700,17000,20000,56000,60000,60000
POST,/wishlist/wishlist,2883,120,350.0,1732.6674365872618,34.27883299991663,60069.959983000444,197.72944849115504,4.811666370808464,0.20027747641242305,350,760,1300,1800,4400,9300,16000,20000,60000,60000,60000
DELETE,/wishlist/wishlist/0017097b-3e16-481c-8ac3-800c067d1dc4,1,0,19545.681405999858,19545.681405999858,19545.681405999858,19545.681405999858,213.0,0.0016689789701035255,0.0,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000,20000
GET,/wishlist/wishlist/0017097b-3e16-481c-8ac3-800c067d1dc4,1,0,12090.466967998509,12090.466967998509,12090.466967998509,12090.466967998509,150.0,0.0016689789701035255,0.0,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000
PUT,/wishlist/wishlist/0017097b-3e16-481c-8ac3-800c067d1dc4,1,0,994.4913559993438,994.4913559993438,994.4913559993438,994.4913559993438,113.0,0.0016689789701035255,0.0,990,990,990,990,990,990,990,990,990,990,990
DELETE,/wishlist/wishlist/004404cd-d6be-4300-9d54-95fef8ac1c11,1,0,70.07316799899854,70.07316799899854,70.07316799899854,70.07316799899854,213.0,0.0016689789701035255,0.0,70,70,70,70,70,70,70,70,70,70,70
GET,/wishlist/wishlist/004404cd-d6be-4300-9d54-95fef8ac1c11,1,0,1040.3326449995802,1040.3326449995802,1040.3326449995802,1040.3326449995802,150.0,0.0016689789701035255,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
PUT,/wishlist/wishlist/004404cd-d6be-4300-9d54-95fef8ac1c11,1,0,771.8563930011442,771.8563930011442,771.8563930011442,771.8563930011442,113.0,0.0016689789701035255,0.0,770,770,770,770,770,770,770,770,770,770,770
DELETE,/wishlist/wishlist/004e3665-7482-4ff9-b748-5d76d85eae67,1,0,1347.8654640002787,1347.8654640002787,1347.8654640002787,1347.8654640002787,213.0,0.0016689789701035255,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/wishlist/wishlist/004e3665-7482-4ff9-b748-5d76d85eae67,1,0,1206.2702010007342,1206.2702010007342,1206.2702010007342,1206.2702010007342,150.0,0.0016689789701035255,0.0,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200
PUT,/wishlist/wishlist/004e3665-7482-4ff9-b748-5d76d85eae67,1,0,329.7253909986466,329.7253909986466,329.7253909986466,329.7253909986466,113.0,0.0016689789701035255,0.0,330,330,330,330,330,330,330,330,330,330,330
DELETE,/wishlist/wishlist/006922d1-d5b7-4b56-95e7-f1384efd1cf9,1,0,5222.079782000947,5222.079782000947,5222.079782000947,5222.079782000947,213.0,0.0016689789701035255,0.0,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200,5200
GET,/wishlist/wishlist/006922d1-d5b7-4b56-95e7-f1384efd1cf9,1,0,267.51006199992844,267.51006199992844,267.51006199992844,267.51006199992844,150.0,0.0016689789701035255,0.0,270,270,270,270,270,270,270,270,270,270,270
PUT,/wishlist/wishlist/006922d1-d5b7-4b56-95e7-f1384efd1cf9,1,0,902.0702780017018,902.0702780017018,902.0702780017018,902.0702780017018,113.0,0.0016689789701035255,0.0,900,900,900,900,900,900,900,900,900,900,900
DELETE,/wishlist/wishlist/0070943e-5073-4c29-a654-aea6291f9216,1,0,65.15593299991451,65.15593299991451,65.15593299991451,65.15593299991451,213.0,0.0016689789701035255,0.0,65,65,65,65,65,65,65,65,65,65,65
GET,/wishlist/wishlist/0070943e-5073-4c29-a654-aea6291f9216,1,0,62.49343899980886,62.49343899980886,62.49343899980886,62.49343899980886,150.0,0.0016689789701035255,0.0,62,62,62,62,62,62,62,62,62,62,62
PUT,/wishlist/wishlist/0070943e-5073-4c29-a654-aea6291f9216,1,0,185.3618130007817,185.3618130007817,185.3618130007817,185.3618130007817,113.0,0.0016689789701035255,0.0,190,190,190,190,190,190,190,190,190,190,190
DELETE,/wishlist/wishlist/00874a08-cfd3-4c20-ac75-531a4552ac84,1,0,198.13480999982858,198.13480999982858,198.13480999982858,198.13480999982858,213.0,0.0016689789701035255,0.0,200,200,200,200,200,200,200,200,200,200,200
GET,/wishlist/wishlist/00874a08-cfd3-4c20-ac75-531a4552ac84,1,0,100.71434199926443,100.71434199926443,100.71434199926443,100.71434199926443,150.0,0.0016689789701035255,0.0,100,100,100,100,100,100,100,100,100,100,100
PUT,/wishlist/wishlist/00874a08-cfd3-4c20-ac75-531a4552ac84,1,0,396.08384699931776,396.08384699931776,396.08384699931776,396.08384699931776,113.0,0.0016689789701035255,0.0,400,400,400,400,400,400,400,400,400,400,400
DELETE,/wishlist/wishlist/00966aab-5792-4a4c-a294-4aa0af573cb1,1,0,38.79964400039171,38.79964400039171,38.79964400039171,38.79964400039171,213.0,0.0016689789701035255,0.0,39,39,39,39,39,39,39,39,39,39,39
