Method,Name,Error,Occurrences
DELETE,/wishlist/wishlist/c9ca1862-97f3-47a4-81d5-696424ed352f,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/c9ca1862-97f3-47a4-81d5-696424ed352f'),1
DELETE,/wishlist/wishlist/77158d53-274f-4f70-b2a0-8f308e311769,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/wishlist/77158d53-274f-4f70-b2a0-8f308e311769'),2
GET,/wishlist/wishlist/aa91b9c4-f27f-40c7-ade0-64e158e2ff89,HTTPError('404 Client Error: Not Found for url: /wishlist/wishlist/aa91b9c4-f27f-40c7-ade0-64e158e2ff89'),1
DELETE,/wishlist/wishlist/3f271b93-8e4d-44f7-8df5-4eec4defeaba,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/wishlist/3f271b93-8e4d-44f7-8df5-4eec4defeaba'),1
PUT,/wishlist/wishlist/deaf77ad-7d02-437f-9b4d-92be4329933d,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/deaf77ad-7d02-437f-9b4d-92be4329933d'),1
DELETE,/wishlist/wishlist/9f698613-5ed4-437a-adae-75fc6e01ee6a,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/wishlist/9f698613-5ed4-437a-adae-75fc6e01ee6a'),2
DELETE,/wishlist/wishlist/cd419cb4-67f2-4f91-82f2-f0e5d48189dc,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/wishlist/cd419cb4-67f2-4f91-82f2-f0e5d48189dc'),2
GET,/wishlist/wishlist/bb779a6d-59d7-45e6-b0d1-12d21a8fab78,HTTPError('404 Client Error: Not Found for url: /wishlist/wishlist/bb779a6d-59d7-45e6-b0d1-12d21a8fab78'),1
PUT,/wishlist/wishlist/8621abdc-c705-4b07-b50c-5c9ea907937c,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/8621abdc-c705-4b07-b50c-5c9ea907937c'),1
DELETE,/wishlist/wishlist/8ec4451c-b0e8-4299-8f5d-a70486a2edb1,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/8ec4451c-b0e8-4299-8f5d-a70486a2edb1'),1
