Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/user/login,2687,736,650.0,961.5537441250428,26.58772799986764,6265.213099999528,207.52102716784518,4.479585475765496,1.2270096427850408,650,1200,1500,1700,2200,2600,3000,3400,4500,6300,6300
POST,/auth/user/register,2697,478,1200.0,1538.7896050585598,27.727186999982223,9189.700371000072,244.1449758991472,4.496256802433771,0.7968894147435456,1200,1800,2200,2500,3300,4200,5000,5700,8300,9200,9200
GET,/products/product,2686,0,30,37.90992252607256,26.13271000154782,568.6141059995862,264.0,4.477918343098668,0.0,30,32,34,36,49,78,130,170,260,570,570
GET,/wishlist/wishlist,2591,569,140.0,378.78293291163817,34.0565329988749,7701.381942000808,161.6796603627943,4.319540739750056,0.9485984874248481,140,290,450,600,1000,1400,2100,2800,6000,7700,7700
POST,/wishlist/wishlist,2607,566,170.0,408.1045446283169,33.42100499867229,6583.763751001243,166.3548139624089,4.346214862419296,0.9435970894243656,170,320,500,650,1100,1500,2100,2600,4300,6600,6600
DELETE,/wishlist/wishlist/00206924-560d-4041-8036-7cacdcd73e6f,1,0,101.33934199984651,101.33934199984651,101.33934199984651,101.33934199984651,213.0,0.0016671326668275012,0.0,100,100,100,100,100,100,100,100,100,100,100
GET,/wishlist/wishlist/00206924-560d-4041-8036-7cacdcd73e6f,1,0,95.88391399847751,95.88391399847751,95.88391399847751,95.88391399847751,150.0,0.0016671326668275012,0.0,96,96,96,96,96,96,96,96,96,96,96
PUT,/wishlist/wishlist/00206924-560d-4041-8036-7cacdcd73e6f,1,0,98.26696500022081,98.26696500022081,98.26696500022081,98.26696500022081,113.0,0.0016671326668275012,0.0,98,98,98,98,98,98,98,98,98,98,98
DELETE,/wishlist/wishlist/0085a1b7-97a4-45ce-acfd-9dcd3bc1ce17,1,0,375.91213199993945,375.91213199993945,375.91213199993945,375.91213199993945,213.0,0.0016671326668275012,0.0,380,380,380,380,380,380,380,380,380,380,380
GET,/wishlist/wishlist/0085a1b7-97a4-45ce-acfd-9dcd3bc1ce17,1,1,1857.3225510008342,1857.3225510008342,1857.3225510008342,1857.3225510008342,27.0,0.0016671326668275012,0.0016671326668275012,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
PUT,/wishlist/wishlist/0085a1b7-97a4-45ce-acfd-9dcd3bc1ce17,1,0,244.0730549988075,244.0730549988075,244.0730549988075,244.0730549988075,113.0,0.0016671326668275012,0.0,240,240,240,240,240,240,240,240,240,240,240
DELETE,/wishlist/wishlist/009cd458-ca31-4726-ad23-24d45f2a7eac,2,2,110.0,443.2983440010503,108.9963570011605,777.6003310009401,97.0,0.0033342653336550024,0.0033342653336550024,780,780,780,780,780,780,780,780,780,780,780
