Method,Name,Error,Occurrences
PUT,/wishlist/wishlist/2a2557dc-d61f-41fe-b300-562ff7accf11,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/2a2557dc-d61f-41fe-b300-562ff7accf11'),1
DELETE,/wishlist/wishlist/ca094da2-79bd-45c9-b351-16cf1990cbdf,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/wishlist/ca094da2-79bd-45c9-b351-16cf1990cbdf'),1
PUT,/wishlist/wishlist/2695a6d9-aed9-42be-8634-4dc44851aee1,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/2695a6d9-aed9-42be-8634-4dc44851aee1'),1
DELETE,/wishlist/wishlist/fcf0e3e5-d8ba-4aa3-8e26-2e0ffc024526,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/fcf0e3e5-d8ba-4aa3-8e26-2e0ffc024526'),1
GET,/wishlist/wishlist/d30bbdd4-e165-4b88-bed6-1e8c1ebef9cd,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/d30bbdd4-e165-4b88-bed6-1e8c1ebef9cd'),1
PUT,/wishlist/wishlist/caa09e48-5fab-44b4-899f-0b7e8ebb2fba,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/caa09e48-5fab-44b4-899f-0b7e8ebb2fba'),1
DELETE,/wishlist/wishlist/e0cb2d90-8aae-40d3-9d04-844966257a7f,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/e0cb2d90-8aae-40d3-9d04-844966257a7f'),1
DELETE,/wishlist/wishlist/c2d0d254-1d15-4dae-9d1a-4079faba61dc,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/wishlist/c2d0d254-1d15-4dae-9d1a-4079faba61dc'),1
DELETE,/wishlist/wishlist/3783c857-8d30-4c4a-9302-2637e51ee40d,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/3783c857-8d30-4c4a-9302-2637e51ee40d'),1
PUT,/wishlist/wishlist/073de941-e380-4203-8093-34b5ac37f519,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/073de941-e380-4203-8093-34b5ac37f519'),1
PUT,/wishlist/wishlist/9003f377-285c-46b3-a770-8f310d223302,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/9003f377-285c-46b3-a770-8f310d223302'),1
DELETE,/wishlist/wishlist/cd7556f5-7fdf-47a3-aa2d-c5d0d91b2203,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/wishlist/cd7556f5-7fdf-47a3-aa2d-c5d0d91b2203'),1
DELETE,/wishlist/wishlist/911ff729-a2a4-464d-bcb6-084eae0f7ab8,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/911ff729-a2a4-464d-bcb6-084eae0f7ab8'),1
PUT,/wishlist/wishlist/0dfbebd2-634b-44c0-947b-5632408b0bc7,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/0dfbebd2-634b-44c0-947b-5632408b0bc7'),1
DELETE,/wishlist/wishlist/bb21a1a0-8113-4415-9596-e88431679226,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/bb21a1a0-8113-4415-9596-e88431679226'),2
PUT,/wishlist/wishlist/bc5defe0-6426-41c4-bb3b-80e680a5ed9c,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/bc5defe0-6426-41c4-bb3b-80e680a5ed9c'),1
DELETE,/wishlist/wishlist/1e74e9ee-40d8-4584-a65a-235e7ff9c9bb,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/wishlist/1e74e9ee-40d8-4584-a65a-235e7ff9c9bb'),1
GET,/wishlist/wishlist/8296833c-9597-4590-bf92-0a80217c1f38,HTTPError('403 Client Error: Forbidden for url: /wishlist/wishlist/8296833c-9597-4590-bf92-0a80217c1f38'),1
DELETE,/wishlist/wishlist/ecfeb81d-da28-4632-b000-30e08c3e4311,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/ecfeb81d-da28-4632-b000-30e08c3e4311'),2
PUT,/wishlist/wishlist/08a34992-82e0-4526-bbce-e00b0829f049,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/08a34992-82e0-4526-bbce-e00b0829f049'),1
DELETE,/wishlist/wishlist/4425c69a-55e4-427e-b145-9c4d88da7750,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/4425c69a-55e4-427e-b145-9c4d88da7750'),1
DELETE,/wishlist/wishlist/2851df89-906d-4e79-a626-66dce45e1f4b,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/2851df89-906d-4e79-a626-66dce45e1f4b'),1
PUT,/wishlist/wishlist/133cd498-50a6-4261-9715-1209da3270a8,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/133cd498-50a6-4261-9715-1209da3270a8'),1
GET,/wishlist/wishlist/77b31528-6991-431d-9519-280c0b1b696a,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/77b31528-6991-431d-9519-280c0b1b696a'),1
DELETE,/wishlist/wishlist/655cc2e5-d9df-4db2-bc7e-610e39f632d6,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/wishlist/655cc2e5-d9df-4db2-bc7e-610e39f632d6'),1
DELETE,/wishlist/wishlist/4069f04d-0c2e-411e-9e55-6d9f8cf9cfe6,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/4069f04d-0c2e-411e-9e55-6d9f8cf9cfe6'),1
GET,/wishlist/wishlist/4a396832-5951-4021-bf52-5ef7abc92d6f,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/4a396832-5951-4021-bf52-5ef7abc92d6f'),1
GET,/wishlist/wishlist/d755f2dc-e0da-4ff2-a648-cf7d57650252,HTTPError('404 Client Error: Not Found for url: /wishlist/wishlist/d755f2dc-e0da-4ff2-a648-cf7d57650252'),1
DELETE,/wishlist/wishlist/8688ecec-2fa1-4a2a-9800-d736482c7036,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/wishlist/8688ecec-2fa1-4a2a-9800-d736482c7036'),1
PUT,/wishlist/wishlist/4f738d3e-8da7-49d1-bab3-c9ede8c40148,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/4f738d3e-8da7-49d1-bab3-c9ede8c40148'),1
DELETE,/wishlist/wishlist/1fd6ce75-5890-48ac-a880-224e8ab78aea,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/1fd6ce75-5890-48ac-a880-224e8ab78aea'),1
GET,/wishlist/wishlist/144de440-7206-47a1-8194-f3dc16df9728,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/144de440-7206-47a1-8194-f3dc16df9728'),2
GET,/wishlist/wishlist/af78ac0b-8b7a-4102-bc3e-1e1c0e63720a,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/af78ac0b-8b7a-4102-bc3e-1e1c0e63720a'),1
DELETE,/wishlist/wishlist/f945f522-67c5-42ca-9f5f-b859fdb05eb5,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/f945f522-67c5-42ca-9f5f-b859fdb05eb5'),1
PUT,/wishlist/wishlist/f1df4ac7-bf1b-4e58-9793-0a8ff4c87f23,HTTPError('401 Client Error: Unauthorized for url: /wishlist/wishlist/f1df4ac7-bf1b-4e58-9793-0a8ff4c87f23'),1
