Method,Name,Error,Occurrences
DELETE,/wishlist/882b301c-4b0f-4863-9b1a-567c6558f952,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/882b301c-4b0f-4863-9b1a-567c6558f952'),2
DELETE,/wishlist/ab44ae24-aab4-4cdc-8e21-6346962eba6c,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/ab44ae24-aab4-4cdc-8e21-6346962eba6c'),1
GET,/wishlist/cceda845-85b5-4798-9154-d3c24f968b76,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 34.126.173.57 timed out. (connect timeout=None)')",1
GET,/wishlist/36d9c02b-d8c2-4959-a518-70f4fbad9dd4,HTTPError('404 Client Error: Not Found for url: /wishlist/36d9c02b-d8c2-4959-a518-70f4fbad9dd4'),1
GET,/wishlist/f47a86d3-113e-4491-bbb1-cce652bab483,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 34.126.173.57 timed out. (connect timeout=None)')",1
GET,/wishlist/642d5699-4d88-40e9-b279-3f00cfb948e4,HTTPError('404 Client Error: Not Found for url: /wishlist/642d5699-4d88-40e9-b279-3f00cfb948e4'),2
DELETE,/wishlist/b03cf81c-7433-481f-ae6c-d5ad7378230a,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/b03cf81c-7433-481f-ae6c-d5ad7378230a'),1
GET,/wishlist/b2bd4a15-e4f0-43fd-84a3-edc869452fac,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 34.126.173.57 timed out. (connect timeout=None)')",1
DELETE,/wishlist/4e7dbd9c-b7cb-4d5c-bd99-f1c35ff5b2b7,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/4e7dbd9c-b7cb-4d5c-bd99-f1c35ff5b2b7'),1
GET,/wishlist/dae0a784-90df-427c-b160-ed2436f6035e,HTTPError('404 Client Error: Not Found for url: /wishlist/dae0a784-90df-427c-b160-ed2436f6035e'),1
GET,/wishlist/dae0a784-90df-427c-b160-ed2436f6035e,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 34.126.173.57 timed out. (connect timeout=None)')",1
DELETE,/wishlist/e2d91dfa-a890-4cfb-816b-8db6eeb968db,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/e2d91dfa-a890-4cfb-816b-8db6eeb968db'),1
GET,/wishlist/4e7dbd9c-b7cb-4d5c-bd99-f1c35ff5b2b7,HTTPError('404 Client Error: Not Found for url: /wishlist/4e7dbd9c-b7cb-4d5c-bd99-f1c35ff5b2b7'),2
GET,/wishlist/568ba7b4-38cb-4c10-bb6f-a375e781838c,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 34.126.173.57 timed out. (connect timeout=None)')",1
GET,/wishlist/174145e2-eefe-4071-8b7a-d2f396b333be,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 34.126.173.57 timed out. (connect timeout=None)')",1
DELETE,/wishlist/remove,HTTPError('401 Client Error: Unauthorized for url: /wishlist/remove'),12
DELETE,/wishlist/90a57fc9-f0ff-4a16-815d-d43e5d17b220,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/90a57fc9-f0ff-4a16-815d-d43e5d17b220'),1
GET,/wishlist/3ee155ff-f9d6-42bd-aabf-d54fbf9819ec,HTTPError('404 Client Error: Not Found for url: /wishlist/3ee155ff-f9d6-42bd-aabf-d54fbf9819ec'),2
GET,/wishlist/b8d6f634-f221-45a1-aa33-babd3f705e8b,HTTPError('404 Client Error: Not Found for url: /wishlist/b8d6f634-f221-45a1-aa33-babd3f705e8b'),1
GET,/wishlist/738763ab-0225-4492-8792-a01e235fc035,HTTPError('404 Client Error: Not Found for url: /wishlist/738763ab-0225-4492-8792-a01e235fc035'),1
DELETE,/wishlist/8dbbf18f-caf7-47d9-a0fc-752f5bed23d3,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/8dbbf18f-caf7-47d9-a0fc-752f5bed23d3'),1
GET,/wishlist/8cd98d2f-908f-48c9-bbcc-83ef48a5cab6,HTTPError('404 Client Error: Not Found for url: /wishlist/8cd98d2f-908f-48c9-bbcc-83ef48a5cab6'),1
GET,/wishlist/d24f7167-d228-412b-af4b-6fe8990cb3ef,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 34.126.173.57 timed out. (connect timeout=None)')",1
GET,/wishlist/ab2e36bd-07b1-4d46-b0da-6655eeb78707,HTTPError('404 Client Error: Not Found for url: /wishlist/ab2e36bd-07b1-4d46-b0da-6655eeb78707'),1
GET,/wishlist/4933c93d-c5d3-4c55-86e7-9b220ce5b37d,HTTPError('404 Client Error: Not Found for url: /wishlist/4933c93d-c5d3-4c55-86e7-9b220ce5b37d'),1
DELETE,/wishlist/68ee3f86-d98c-4d55-a337-13369b65932b,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/68ee3f86-d98c-4d55-a337-13369b65932b'),1
GET,/wishlist/7bcc14ba-e6dd-492a-be9a-1bb4a49c45a6,HTTPError('404 Client Error: Not Found for url: /wishlist/7bcc14ba-e6dd-492a-be9a-1bb4a49c45a6'),1
PUT,/wishlist/f47a86d3-113e-4491-bbb1-cce652bab483,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 34.126.173.57 timed out. (connect timeout=None)')",1
DELETE,/wishlist/67c29e37-e4ff-4dd9-9a9d-f37f57a9b4c7,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/67c29e37-e4ff-4dd9-9a9d-f37f57a9b4c7'),1
GET,/wishlist/7aa0837c-b3f7-401c-a95b-c4e5ae82bf5c,HTTPError('404 Client Error: Not Found for url: /wishlist/7aa0837c-b3f7-401c-a95b-c4e5ae82bf5c'),1
DELETE,/wishlist/7da9d126-1209-44c0-9dc3-2bb2b9580000,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/7da9d126-1209-44c0-9dc3-2bb2b9580000'),2
GET,/wishlist/0f16f76c-e856-47e0-8c2c-9f485dc7f8d4,HTTPError('404 Client Error: Not Found for url: /wishlist/0f16f76c-e856-47e0-8c2c-9f485dc7f8d4'),2
GET,/wishlist/02b9d4ab-60ec-4eaf-a916-881a475b100a,HTTPError('404 Client Error: Not Found for url: /wishlist/02b9d4ab-60ec-4eaf-a916-881a475b100a'),1
DELETE,/wishlist/b8cbc977-2a97-43ea-a620-ed427aa2fa0f,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/b8cbc977-2a97-43ea-a620-ed427aa2fa0f'),1
GET,/wishlist/e2d91dfa-a890-4cfb-816b-8db6eeb968db,HTTPError('404 Client Error: Not Found for url: /wishlist/e2d91dfa-a890-4cfb-816b-8db6eeb968db'),1
GET,/wishlist/8de5f518-5df1-4872-97f0-72ffeb969d4d,HTTPError('404 Client Error: Not Found for url: /wishlist/8de5f518-5df1-4872-97f0-72ffeb969d4d'),2
DELETE,/wishlist/9d4e948b-3476-4292-b352-3451372849ba,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/9d4e948b-3476-4292-b352-3451372849ba'),2
GET,/wishlist/e4bacd26-592d-4c88-808f-8b06b2bf7494,HTTPError('404 Client Error: Not Found for url: /wishlist/e4bacd26-592d-4c88-808f-8b06b2bf7494'),1
DELETE,/wishlist/6e95f638-cedf-42cd-b80a-ebd6fc4b9a72,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/6e95f638-cedf-42cd-b80a-ebd6fc4b9a72'),1
PUT,/wishlist/779e5e1c-ef99-4379-9ded-3fb8e9b9f226,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 34.126.173.57 timed out. (connect timeout=None)')",1
DELETE,/wishlist/cdc87132-7826-4e00-91a4-b28f313b979d,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/cdc87132-7826-4e00-91a4-b28f313b979d'),4
DELETE,/wishlist/ccf81544-a9f2-429c-9616-d662ba1be3fe,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/ccf81544-a9f2-429c-9616-d662ba1be3fe'),1
GET,/wishlist/ee4a91c6-901a-4066-b90b-a7d9ed5c2916,HTTPError('404 Client Error: Not Found for url: /wishlist/ee4a91c6-901a-4066-b90b-a7d9ed5c2916'),1
GET,/wishlist/112d2246-1de8-48c5-9f38-e8d6c9ecb312,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 34.126.173.57 timed out. (connect timeout=None)')",1
GET,/wishlist/4eb4abc5-64a3-444c-9113-b053d4141af6,HTTPError('404 Client Error: Not Found for url: /wishlist/4eb4abc5-64a3-444c-9113-b053d4141af6'),1
GET,/wishlist/750b4544-3ffb-41c3-8caf-8c8945f2c102,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 34.126.173.57 timed out. (connect timeout=None)')",1
GET,/wishlist/5c94b962-3fc4-44d5-a98c-90e393382dc3,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 34.126.173.57 timed out. (connect timeout=None)')",1
DELETE,/wishlist/b76f9047-c6c7-4d31-bb97-6232784c61d2,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/b76f9047-c6c7-4d31-bb97-6232784c61d2'),1
DELETE,/wishlist/6c566aee-1655-4f83-b456-dd9a2e7f6b92,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/6c566aee-1655-4f83-b456-dd9a2e7f6b92'),1
DELETE,/wishlist/3ea24f5b-755a-41b5-9e92-f1c242098354,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/3ea24f5b-755a-41b5-9e92-f1c242098354'),1
GET,/wishlist/cd1bbd6c-7bbe-4452-b94a-1261742a60c6,HTTPError('401 Client Error: Unauthorized for url: /wishlist/cd1bbd6c-7bbe-4452-b94a-1261742a60c6'),1
PUT,/wishlist/b59e835b-882f-43fb-88b1-36a3dfcbe911,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 34.126.173.57 timed out. (connect timeout=None)')",1
GET,/wishlist/8875b735-bb96-485e-a960-1286804eab7a,HTTPError('404 Client Error: Not Found for url: /wishlist/8875b735-bb96-485e-a960-1286804eab7a'),1
POST,/user/login,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 34.126.173.57 timed out. (connect timeout=None)')",1449
PUT,/wishlist/390b0eac-c41e-49ec-a6d0-4d572dda80a5,HTTPError('401 Client Error: Unauthorized for url: /wishlist/390b0eac-c41e-49ec-a6d0-4d572dda80a5'),1
DELETE,/wishlist/8cb39a0e-c526-4227-aa08-75e81f134503,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/8cb39a0e-c526-4227-aa08-75e81f134503'),1
GET,/wishlist/8df0c2d2-fcda-4397-9b8f-cba6d71f140e,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 34.126.173.57 timed out. (connect timeout=None)')",1
DELETE,/wishlist/d38f61bc-4260-4017-8994-285b997b670b,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/d38f61bc-4260-4017-8994-285b997b670b'),1
DELETE,/wishlist/20fe1c3e-67a6-4df9-b45f-14e64fa27bf2,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/20fe1c3e-67a6-4df9-b45f-14e64fa27bf2'),1
PUT,/wishlist/460e104b-2381-497e-b24f-c6f50e31b85b,HTTPError('401 Client Error: Unauthorized for url: /wishlist/460e104b-2381-497e-b24f-c6f50e31b85b'),1
GET,/wishlist/be14ff35-0b6c-4605-b705-2de1d8366a94,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 34.126.173.57 timed out. (connect timeout=None)')",1
GET,/wishlist/460e104b-2381-497e-b24f-c6f50e31b85b,HTTPError('404 Client Error: Not Found for url: /wishlist/460e104b-2381-497e-b24f-c6f50e31b85b'),1
PUT,/wishlist/ab986ddb-b7a8-4b45-b143-a487ed5d1c11,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 34.126.173.57 timed out. (connect timeout=None)')",1
DELETE,/wishlist/2b00a74b-048c-4c87-9e6a-d0f8281f148d,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/2b00a74b-048c-4c87-9e6a-d0f8281f148d'),1
DELETE,/wishlist/bc344581-1f6c-4f41-aa02-945da694f2fe,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/bc344581-1f6c-4f41-aa02-945da694f2fe'),1
DELETE,/wishlist/776ce88a-5679-474c-9578-ae32a17cbc0a,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/776ce88a-5679-474c-9578-ae32a17cbc0a'),1
PUT,/wishlist/be6529c6-a8fd-4069-8dc2-7101c61f6054,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 34.126.173.57 timed out. (connect timeout=None)')",1
DELETE,/wishlist/c2f8dfa3-d63f-4736-b35e-3e0a469acaad,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/c2f8dfa3-d63f-4736-b35e-3e0a469acaad'),1
DELETE,/wishlist/f44bcc69-55cc-4175-bd07-d046bc116e35,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/f44bcc69-55cc-4175-bd07-d046bc116e35'),2
DELETE,/wishlist/4f7769cb-a263-4f38-9b9c-43af326d4932,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/4f7769cb-a263-4f38-9b9c-43af326d4932'),2
DELETE,/wishlist/1eb7752f-6dd0-4d78-88cf-65789e70839e,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/1eb7752f-6dd0-4d78-88cf-65789e70839e'),1
PUT,/wishlist/7c908bc1-dcce-4f4e-9e37-21cb9c8af42b,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 34.126.173.57 timed out. (connect timeout=None)')",1
GET,/wishlist/71d2f7b5-dc0b-4de1-a11d-42f1ac07ed86,HTTPError('404 Client Error: Not Found for url: /wishlist/71d2f7b5-dc0b-4de1-a11d-42f1ac07ed86'),1
GET,/wishlist/2e3c9a0d-936b-41d8-a3ec-daf2e3d96ee4,HTTPError('404 Client Error: Not Found for url: /wishlist/2e3c9a0d-936b-41d8-a3ec-daf2e3d96ee4'),1
GET,/wishlist/c0075ba1-04a9-4c58-b238-bffafaa1106e,HTTPError('404 Client Error: Not Found for url: /wishlist/c0075ba1-04a9-4c58-b238-bffafaa1106e'),1
GET,/wishlist/f0e57d3a-ac77-4c8b-919d-819b18771ec8,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 34.126.173.57 timed out. (connect timeout=None)')",1
DELETE,/wishlist/e98b0b0e-f249-4909-91f6-a5484138121a,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 34.126.173.57 timed out. (connect timeout=None)')",1
GET,/wishlist/fdbf24a1-e8b4-4206-a0f5-879c4cfd0537,HTTPError('404 Client Error: Not Found for url: /wishlist/fdbf24a1-e8b4-4206-a0f5-879c4cfd0537'),1
POST,/wishlist/add,HTTPError('401 Client Error: Unauthorized for url: /wishlist/add'),14
GET,/wishlist/e6c86b83-8e40-4e2b-bc91-b614f3ea18d1,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 34.126.173.57 timed out. (connect timeout=None)')",1
GET,/wishlist/9fcfdd3a-7aff-4e69-807c-7c4aa91b84b9,HTTPError('401 Client Error: Unauthorized for url: /wishlist/9fcfdd3a-7aff-4e69-807c-7c4aa91b84b9'),1
GET,/wishlist/91cb8cf1-80f1-4f8b-a704-61b11c0b4ada,HTTPError('404 Client Error: Not Found for url: /wishlist/91cb8cf1-80f1-4f8b-a704-61b11c0b4ada'),1
GET,/wishlist/ba159dd2-bf4e-40aa-87a0-c68976a268a3,HTTPError('404 Client Error: Not Found for url: /wishlist/ba159dd2-bf4e-40aa-87a0-c68976a268a3'),1
GET,/wishlist/f47a86d3-113e-4491-bbb1-cce652bab483,HTTPError('404 Client Error: Not Found for url: /wishlist/f47a86d3-113e-4491-bbb1-cce652bab483'),1
DELETE,/wishlist/afceed6e-7b47-4976-8b83-2dc73f512fef,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/afceed6e-7b47-4976-8b83-2dc73f512fef'),1
POST,/wishlist/add,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 34.126.173.57 timed out. (connect timeout=None)')",209
DELETE,/wishlist/e814af17-830f-4754-8038-14b93fc5017e,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/e814af17-830f-4754-8038-14b93fc5017e'),1
DELETE,/wishlist/0205a48d-3e02-44f3-92c4-79a99df178e4,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 34.126.173.57 timed out. (connect timeout=None)')",1
GET,/wishlist/7c908bc1-dcce-4f4e-9e37-21cb9c8af42b,"ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x....>, 'Connection to 34.126.173.57 timed out. (connect timeout=None)')",1
DELETE,/wishlist/a1fc36e2-710b-48fc-a64a-9c74233a18e8,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/a1fc36e2-710b-48fc-a64a-9c74233a18e8'),1
DELETE,/wishlist/b59e835b-882f-43fb-88b1-36a3dfcbe911,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/b59e835b-882f-43fb-88b1-36a3dfcbe911'),2
DELETE,/wishlist/d18799f9-90f9-491a-b497-a1ff9397ca14,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/d18799f9-90f9-491a-b497-a1ff9397ca14'),1
