Method,Name,Error,Occurrences
DELETE,/wishlist/2272be6e-1ebd-4e4f-9614-088518f356d3,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/2272be6e-1ebd-4e4f-9614-088518f356d3'),1
GET,/wishlist/bc27e663-dab6-4d51-859a-94e4ec2591a9,HTTPError('401 Client Error: Unauthorized for url: /wishlist/bc27e663-dab6-4d51-859a-94e4ec2591a9'),1
DELETE,/wishlist/2ca24d6c-0b5f-4922-86a7-4fd5d45e26b7,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/2ca24d6c-0b5f-4922-86a7-4fd5d45e26b7'),1
DELETE,/wishlist/672ced1a-3164-4400-8222-a98f7fb238ee,HTTPError('401 Client Error: Unauthorized for url: /wishlist/672ced1a-3164-4400-8222-a98f7fb238ee'),1
GET,/wishlist/69832e74-ae33-4f35-88fc-600ceb6073a9,HTTPError('404 Client Error: Not Found for url: /wishlist/69832e74-ae33-4f35-88fc-600ceb6073a9'),1
GET,/wishlist/49e69ab6-f878-49f1-8c29-e774d2d65885,HTTPError('404 Client Error: Not Found for url: /wishlist/49e69ab6-f878-49f1-8c29-e774d2d65885'),1
DELETE,/wishlist/bf78b0b3-2a12-4f2a-858f-496156684898,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/bf78b0b3-2a12-4f2a-858f-496156684898'),1
GET,/wishlist/94e0e34f-834f-44e5-aea5-9411eb3bed05,HTTPError('403 Client Error: Forbidden for url: /wishlist/94e0e34f-834f-44e5-aea5-9411eb3bed05'),1
DELETE,/wishlist/6fbbea4a-22dc-4903-9a5c-4daa9dd48fa4,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/6fbbea4a-22dc-4903-9a5c-4daa9dd48fa4'),1
DELETE,/wishlist/a66efdc0-e5b1-46eb-b0ae-587a0f5b18d5,HTTPError('401 Client Error: Unauthorized for url: /wishlist/a66efdc0-e5b1-46eb-b0ae-587a0f5b18d5'),1
GET,/wishlist/8ee46b4f-a537-44bc-ad31-8c26df36541e,HTTPError('404 Client Error: Not Found for url: /wishlist/8ee46b4f-a537-44bc-ad31-8c26df36541e'),2
GET,/wishlist/8dd241d1-4b1b-48e1-b6d7-932e95cad77e,HTTPError('401 Client Error: Unauthorized for url: /wishlist/8dd241d1-4b1b-48e1-b6d7-932e95cad77e'),1
DELETE,/wishlist/f5b808c0-64de-400a-b807-2b9fcfaa5956,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/f5b808c0-64de-400a-b807-2b9fcfaa5956'),1
GET,/wishlist/7b0b7caa-4283-43e0-9b77-42903d0e5a63,HTTPError('401 Client Error: Unauthorized for url: /wishlist/7b0b7caa-4283-43e0-9b77-42903d0e5a63'),1
DELETE,/wishlist/ffa243c9-bb90-420b-bf42-f4ace84569c2,HTTPError('401 Client Error: Unauthorized for url: /wishlist/ffa243c9-bb90-420b-bf42-f4ace84569c2'),1
GET,/wishlist/62773b63-c749-481c-95b3-ed70a12a6239,HTTPError('401 Client Error: Unauthorized for url: /wishlist/62773b63-c749-481c-95b3-ed70a12a6239'),1
GET,/wishlist/1f44a6ee-ac5b-475c-b288-55c1c84fc42c,HTTPError('404 Client Error: Not Found for url: /wishlist/1f44a6ee-ac5b-475c-b288-55c1c84fc42c'),1
PUT,/wishlist/c36edd84-8c10-475a-a822-97fbd66a60b3,HTTPError('401 Client Error: Unauthorized for url: /wishlist/c36edd84-8c10-475a-a822-97fbd66a60b3'),1
DELETE,/wishlist/remove,HTTPError('401 Client Error: Unauthorized for url: /wishlist/remove'),255
GET,/wishlist/054b01bc-c15e-4d81-ab6f-382278d611e6,HTTPError('404 Client Error: Not Found for url: /wishlist/054b01bc-c15e-4d81-ab6f-382278d611e6'),3
GET,/wishlist/060e6791-4682-471b-94fe-3b4bc1cd90d7,HTTPError('404 Client Error: Not Found for url: /wishlist/060e6791-4682-471b-94fe-3b4bc1cd90d7'),1
PUT,/wishlist/0784aaaf-d574-4924-9274-46e8ab257312,HTTPError('401 Client Error: Unauthorized for url: /wishlist/0784aaaf-d574-4924-9274-46e8ab257312'),1
DELETE,/wishlist/02a05638-3678-4970-8a89-5ad379464853,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/02a05638-3678-4970-8a89-5ad379464853'),1
GET,/wishlist/bd32a167-cfe1-4a11-ad74-ae82f4bfde31,HTTPError('404 Client Error: Not Found for url: /wishlist/bd32a167-cfe1-4a11-ad74-ae82f4bfde31'),1
DELETE,/wishlist/3e4c25a4-aa4c-4795-808e-7c2047895b55,HTTPError('401 Client Error: Unauthorized for url: /wishlist/3e4c25a4-aa4c-4795-808e-7c2047895b55'),1
GET,/wishlist/d6187f93-8fed-4515-ae15-f7680d945282,HTTPError('404 Client Error: Not Found for url: /wishlist/d6187f93-8fed-4515-ae15-f7680d945282'),2
DELETE,/wishlist/4431db45-ee92-4f2c-8575-5cca7e45eb5e,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/4431db45-ee92-4f2c-8575-5cca7e45eb5e'),1
DELETE,/wishlist/533645e8-2b0a-45f3-b6cd-0c336b570678,HTTPError('401 Client Error: Unauthorized for url: /wishlist/533645e8-2b0a-45f3-b6cd-0c336b570678'),1
DELETE,/wishlist/3205cca8-9e16-4a37-90d3-601f86119577,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/3205cca8-9e16-4a37-90d3-601f86119577'),1
