Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/product,1097,205,140.0,4369.292247246071,2.7563889998418745,75007.84721300079,214.66545123062897,1.8300393169908322,0.3419854694467827,140,580,1600,8600,19000,24000,27000,28000,75000,75000,75000
POST,/user/login,1120,219,370.0,2532.5325497607514,26.922691002255306,75007.18734000111,218.50982142857143,1.868408418440959,0.3653405746772947,370,490,640,720,2200,20000,26000,29000,75000,75000,75000
POST,/user/register,1126,214,500.0,4628.896514158086,3.1539999981760047,75021.95965699866,228.4955595026643,1.8784177492540357,0.35699946566639756,500,760,1300,4600,20000,24000,28000,31000,75000,75000,75000
GET,/wishlist,996,78,46,1601.0913325701904,32.83453099720646,75004.57121399813,176.77309236947792,1.6615489149707101,0.13012130056999535,46,75,110,120,410,17000,24000,26000,75000,75000,75000
POST,/wishlist,1011,141,94,3338.995723754658,33.08239100078936,75002.91920100062,176.7299703264095,1.6865722420034015,0.23521927410729931,94,150,320,640,18000,24000,28000,28000,40000,75000,75000
DELETE,/wishlist/01460081-910d-4e22-8832-d3974c3b18f3,1,0,40.49549199771718,40.49549199771718,40.49549199771718,40.49549199771718,213.0,0.0016682218021794278,0.0,40,40,40,40,40,40,40,40,40,40,40
GET,/wishlist/01460081-910d-4e22-8832-d3974c3b18f3,1,0,36.6225489997305,36.6225489997305,36.6225489997305,36.6225489997305,150.0,0.0016682218021794278,0.0,37,37,37,37,37,37,37,37,37,37,37
PUT,/wishlist/01460081-910d-4e22-8832-d3974c3b18f3,1,0,176.95052799899713,176.95052799899713,176.95052799899713,176.95052799899713,113.0,0.0016682218021794278,0.0,180,180,180,180,180,180,180,180,180,180,180
DELETE,/wishlist/015d8802-2078-412b-9647-16c73996ecd0,1,1,112.48979799711378,112.48979799711378,112.48979799711378,112.48979799711378,167.0,0.0016682218021794278,0.0016682218021794278,110,110,110,110,110,110,110,110,110,110,110
GET,/wishlist/015d8802-2078-412b-9647-16c73996ecd0,1,0,110.9709060001478,110.9709060001478,110.9709060001478,110.9709060001478,150.0,0.0016682218021794278,0.0,110,110,110,110,110,110,110,110,110,110,110
