Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/product,1999,28,50,109.12032940530838,2.1454259986057878,1265.630162000889,260.3021510755378,3.487695239820871,0.0488521594372108,50,54,64,88,320,340,470,1000,1300,1300,1300
POST,/user/login,2002,154,680.0,973.00059073714,11.875253003381658,7702.1995579998475,249.2027972027972,3.4929293997605724,0.2686868769046594,690,1100,1300,1600,2200,2700,3200,3600,4500,7700,7700
POST,/user/register,2008,138,740.0,1257.1045674302338,3.421961002459284,11293.976134998957,264.50597609561754,3.503397719639975,0.24077135722625323,740,1200,1700,2000,3300,4200,5100,5800,8700,11000,11000
GET,/wishlist,1940,57,65,273.4403634318836,28.836432000389323,8007.789807001245,194.37783505154638,3.3847567610067486,0.09944903885432199,65,110,220,310,750,1300,2000,2600,6900,8000,8000
POST,/wishlist,1962,91,74,315.84316620228753,5.500838000443764,7158.370620003552,196.46890927624872,3.423140600564557,0.1587695181709351,74,190,360,450,860,1500,2100,2500,5600,7200,7200
DELETE,/wishlist/0006a036-4366-4863-af6c-2e4de00acc2d,1,0,309.2252529968391,309.2252529968391,309.2252529968391,309.2252529968391,213.0,0.0017447199799003857,0.0,310,310,310,310,310,310,310,310,310,310,310
GET,/wishlist/0006a036-4366-4863-af6c-2e4de00acc2d,1,1,99.4967029982945,99.4967029982945,99.4967029982945,99.4967029982945,31.0,0.0017447199799003857,0.0017447199799003857,99,99,99,99,99,99,99,99,99,99,99
PUT,/wishlist/0006a036-4366-4863-af6c-2e4de00acc2d,1,0,31.672361998062115,31.672361998062115,31.672361998062115,31.672361998062115,113.0,0.0017447199799003857,0.0,32,32,32,32,32,32,32,32,32,32,32
DELETE,/wishlist/000bab20-a229-416d-8413-91e914f97565,1,0,731.3042379973922,731.3042379973922,731.3042379973922,731.3042379973922,213.0,0.0017447199799003857,0.0,730,730,730,730,730,730,730,730,730,730,730
GET,/wishlist/000bab20-a229-416d-8413-91e914f97565,1,0,32.42748400225537,32.42748400225537,32.42748400225537,32.42748400225537,150.0,0.0017447199799003857,0.0,32,32,32,32,32,32,32,32,32,32,32
PUT,/wishlist/000bab20-a229-416d-8413-91e914f97565,1,0,852.7685160006513,852.7685160006513,852.7685160006513,852.7685160006513,113.0,0.0017447199799003857,0.0,850,850,850,850,850,850,850,850,850,850,850
DELETE,/wishlist/00194de8-04b2-4838-82b8-edbc4e5abf69,1,0,34.03703199728625,34.03703199728625,34.03703199728625,34.03703199728625,213.0,0.0017447199799003857,0.0,34,34,34,34,34,34,34,34,34,34,34
GET,/wishlist/00194de8-04b2-4838-82b8-edbc4e5abf69,1,0,408.82686999975704,408.82686999975704,408.82686999975704,408.82686999975704,150.0,0.0017447199799003857,0.0,410,410,410,410,410,410,410,410,410,410,410
PUT,/wishlist/00194de8-04b2-4838-82b8-edbc4e5abf69,1,0,223.67623400350567,223.67623400350567,223.67623400350567,223.67623400350567,113.0,0.0017447199799003857,0.0,220,220,220,220,220,220,220,220,220,220,220
DELETE,/wishlist/003fb22e-d312-4544-8773-429da0368b1b,1,0,60.18195700016804,60.18195700016804,60.18195700016804,60.18195700016804,213.0,0.0017447199799003857,0.0,60,60,60,60,60,60,60,60,60,60,60
GET,/wishlist/003fb22e-d312-4544-8773-429da0368b1b,1,0,145.29453100112732,145.29453100112732,145.29453100112732,145.29453100112732,150.0,0.0017447199799003857,0.0,150,150,150,150,150,150,150,150,150,150,150
PUT,/wishlist/003fb22e-d312-4544-8773-429da0368b1b,1,0,127.78893100039568,127.78893100039568,127.78893100039568,127.78893100039568,113.0,0.0017447199799003857,0.0,130,130,130,130,130,130,130,130,130,130,130
DELETE,/wishlist/00960838-e8b6-4a06-9047-a05810d96691,1,0,33.41238800203428,33.41238800203428,33.41238800203428,33.41238800203428,213.0,0.0017447199799003857,0.0,33,33,33,33,33,33,33,33,33,33,33
GET,/wishlist/00960838-e8b6-4a06-9047-a05810d96691,1,0,85.64878199831583,85.64878199831583,85.64878199831583,85.64878199831583,150.0,0.0017447199799003857,0.0,86,86,86,86,86,86,86,86,86,86,86
PUT,/wishlist/00960838-e8b6-4a06-9047-a05810d96691,1,0,104.72908499650657,104.72908499650657,104.72908499650657,104.72908499650657,113.0,0.0017447199799003857,0.0,100,100,100,100,100,100,100,100,100,100,100
DELETE,/wishlist/0106711f-e7aa-4fa2-88dc-6f4eac6f5ec2,1,0,108.98661999817705,108.98661999817705,108.98661999817705,108.98661999817705,213.0,0.0017447199799003857,0.0,110,110,110,110,110,110,110,110,110,110,110
GET,/wishlist/0106711f-e7aa-4fa2-88dc-6f4eac6f5ec2,1,0,574.1944470064482,574.1944470064482,574.1944470064482,574.1944470064482,150.0,0.0017447199799003857,0.0,570,570,570,570,570,570,570,570,570,570,570
PUT,/wishlist/0106711f-e7aa-4fa2-88dc-6f4eac6f5ec2,1,0,94.71814800053835,94.71814800053835,94.71814800053835,94.71814800053835,113.0,0.0017447199799003857,0.0,95,95,95,95,95,95,95,95,95,95,95
DELETE,/wishlist/0119375b-47e1-4033-ae63-e60dcc876ff6,1,1,195.6665389952832,195.6665389952832,195.6665389952832,195.6665389952832,167.0,0.0017447199799003857,0.0017447199799003857,200,200,200,200,200,200,200,200,200,200,200
GET,/wishlist/0119375b-47e1-4033-ae63-e60dcc876ff6,1,0,32.87686499970732,32.87686499970732,32.87686499970732,32.87686499970732,150.0,0.0017447199799003857,0.0,33,33,33,33,33,33,33,33,33,33,33
PUT,/wishlist/0119375b-47e1-4033-ae63-e60dcc876ff6,1,0,32.620944002701435,32.620944002701435,32.620944002701435,32.620944002701435,113.0,0.0017447199799003857,0.0,33,33,33,33,33,33,33,33,33,33,33
DELETE,/wishlist/0128c9f9-0c33-4e5f-b262-30b7956f9754,1,0,224.30484499636805,224.30484499636805,224.30484499636805,224.30484499636805,213.0,0.0017447199799003857,0.0,220,220,220,220,220,220,220,220,220,220,220
GET,/wishlist/0128c9f9-0c33-4e5f-b262-30b7956f9754,1,0,195.31822800490772,195.31822800490772,195.31822800490772,195.31822800490772,150.0,0.0017447199799003857,0.0,200,200,200,200,200,200,200,200,200,200,200
PUT,/wishlist/0128c9f9-0c33-4e5f-b262-30b7956f9754,1,0,33.318005996989086,33.318005996989086,33.318005996989086,33.318005996989086,113.0,0.0017447199799003857,0.0,33,33,33,33,33,33,33,33,33,33,33
DELETE,/wishlist/01483a82-c043-4432-a1d4-c1976f6daff3,1,0,314.5894339977531,314.5894339977531,314.5894339977531,314.5894339977531,205.0,0.0017447199799003857,0.0,310,310,310,310,310,310,310,310,310,310,310
GET,/wishlist/01483a82-c043-4432-a1d4-c1976f6daff3,1,0,31.58196800359292,31.58196800359292,31.58196800359292,31.58196800359292,150.0,0.0017447199799003857,0.0,32,32,32,32,32,32,32,32,32,32,32
PUT,/wishlist/01483a82-c043-4432-a1d4-c1976f6daff3,1,1,261.85572700342163,261.85572700342163,261.85572700342163,261.85572700342163,27.0,0.0017447199799003857,0.0017447199799003857,260,260,260,260,260,260,260,260,260,260,260
DELETE,/wishlist/014a3902-f4f1-4a31-b774-0d02d7dd9a18,1,0,477.9605029980303,477.9605029980303,477.9605029980303,477.9605029980303,205.0,0.0017447199799003857,0.0,480,480,480,480,480,480,480,480,480,480,480
GET,/wishlist/014a3902-f4f1-4a31-b774-0d02d7dd9a18,1,0,1048.7864070018986,1048.7864070018986,1048.7864070018986,1048.7864070018986,150.0,0.0017447199799003857,0.0,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
PUT,/wishlist/014a3902-f4f1-4a31-b774-0d02d7dd9a18,1,1,1015.6907769996906,1015.6907769996906,1015.6907769996906,1015.6907769996906,27.0,0.0017447199799003857,0.0017447199799003857,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
DELETE,/wishlist/0178f724-f100-4dcd-b9df-70798477aae0,1,0,124.82831200031796,124.82831200031796,124.82831200031796,124.82831200031796,213.0,0.0017447199799003857,0.0,120,120,120,120,120,120,120,120,120,120,120
