Method,Name,Error,Occurrences
GET,/wishlist/022ecd81-c7d3-4074-95f2-cd84bca48ed0,"ConnectionResetError(54, 'Connection reset by peer')",1
GET,/wishlist/e6bf9714-f0d0-4682-849e-78e822bb9a47,HTTPError('404 Client Error: Not Found for url: /wishlist/e6bf9714-f0d0-4682-849e-78e822bb9a47'),1
PUT,/wishlist/bc7feac1-d5fc-4d9e-bc95-7ba0c18366b6,"ConnectionResetError(54, 'Connection reset by peer')",1
PUT,/wishlist/b60e3216-4b2f-4d1a-ae0c-4a1f525876e6,"ConnectionResetError(54, 'Connection reset by peer')",1
DELETE,/wishlist/fe22523e-87a4-402d-9412-23db492ea502,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/fe22523e-87a4-402d-9412-23db492ea502'),1
DELETE,/wishlist/3b232467-41f1-4253-9e1a-5581966743e5,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/3b232467-41f1-4253-9e1a-5581966743e5'),1
DELETE,/wishlist/a29285e4-e7f2-4a39-bb90-844f36c5ddbc,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/a29285e4-e7f2-4a39-bb90-844f36c5ddbc'),1
GET,/wishlist,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='34.143.200.223', port=30287): Read timed out. (read timeout=None)""))",25
GET,/wishlist,"ConnectionResetError(54, 'Connection reset by peer')",981
GET,/wishlist/c741516e-833d-47af-a057-844deaacfac6,"ConnectionResetError(54, 'Connection reset by peer')",1
DELETE,/wishlist/a8f8eab5-ae29-44f3-9068-19187d21d01f,"ConnectionResetError(54, 'Connection reset by peer')",1
GET,/wishlist/f6b43316-df70-44dd-94f5-a08d2fb453bc,"ConnectionResetError(54, 'Connection reset by peer')",1
GET,/wishlist/b517fbec-84ce-4bdc-9d13-ae4c3bd604fc,HTTPError('404 Client Error: Not Found for url: /wishlist/b517fbec-84ce-4bdc-9d13-ae4c3bd604fc'),1
DELETE,/wishlist/8a7d8c5c-1aec-4886-b973-4942845aa237,"ConnectionResetError(54, 'Connection reset by peer')",1
PUT,/wishlist/9ef279d3-078d-4edc-af29-49d6658c5a78,"ConnectionResetError(54, 'Connection reset by peer')",1
DELETE,/wishlist/8b7a36bf-7642-4875-a7d0-afefd8c47be9,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/8b7a36bf-7642-4875-a7d0-afefd8c47be9'),1
PUT,/wishlist/a0dff182-0b33-43a4-b568-1009271a5246,"ConnectionResetError(54, 'Connection reset by peer')",1
DELETE,/wishlist/remove,HTTPError('401 Client Error: Unauthorized for url: /wishlist/remove'),16
DELETE,/wishlist/e352cdef-1d4d-4a67-a8ce-b4f34bf33ee3,"ConnectionResetError(54, 'Connection reset by peer')",1
DELETE,/wishlist/a370a481-cba0-497d-a711-7bf2debdc561,"ConnectionResetError(54, 'Connection reset by peer')",1
GET,/wishlist/b5107555-91cb-48e0-8f2e-62348b3c07f9,"ConnectionResetError(54, 'Connection reset by peer')",1
PUT,/wishlist/0a398b27-b4d8-417a-aba4-c62d8e8d80b4,"ConnectionResetError(54, 'Connection reset by peer')",1
GET,/wishlist/ed8f1a0e-6e64-40eb-8921-a6868619ed2f,"ConnectionResetError(54, 'Connection reset by peer')",1
PUT,/wishlist/4798d1f8-1b4a-4615-bc59-2a04aea7a574,"ConnectionResetError(54, 'Connection reset by peer')",1
GET,/wishlist/c02b4cef-8dfc-4749-926f-f8108845f3ea,HTTPError('404 Client Error: Not Found for url: /wishlist/c02b4cef-8dfc-4749-926f-f8108845f3ea'),1
PUT,/wishlist/5f2d4718-0fde-49c2-a4b8-24e991e9822e,"ConnectionResetError(54, 'Connection reset by peer')",1
GET,/wishlist/b21d24f3-6312-45de-bb97-f677f9d227c6,"ConnectionResetError(54, 'Connection reset by peer')",1
GET,/wishlist/d923f885-a6d6-4df9-a6a0-6f268aaf8637,"ConnectionResetError(54, 'Connection reset by peer')",1
GET,/wishlist/04cca2aa-0d96-4b12-b63a-7796dafabe56,"ConnectionResetError(54, 'Connection reset by peer')",1
GET,/wishlist/8956a32e-be46-40dc-86c9-ef883ab43365,"ConnectionResetError(54, 'Connection reset by peer')",1
DELETE,/wishlist/83b4247d-3c54-45f4-babf-b56ca6629500,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/83b4247d-3c54-45f4-babf-b56ca6629500'),1
GET,/wishlist/ff71c504-aa5d-43a7-91c7-cc7eb7372202,"ConnectionResetError(54, 'Connection reset by peer')",1
DELETE,/wishlist/f8d0ed6f-d178-4c6f-a4b6-fc84469737f8,"ConnectionResetError(54, 'Connection reset by peer')",1
GET,/wishlist/e04f0646-024c-464e-a2c7-28206ab3111d,HTTPError('404 Client Error: Not Found for url: /wishlist/e04f0646-024c-464e-a2c7-28206ab3111d'),1
DELETE,/wishlist/d937e7bc-1176-4741-87a9-3373fda33b30,"ConnectionResetError(54, 'Connection reset by peer')",1
GET,/wishlist/9e2510da-4f05-4c5b-8f73-7073416676c2,"ConnectionResetError(54, 'Connection reset by peer')",1
PUT,/wishlist/75dc366d-0cd7-46ee-8f13-fbc3e60cc3d8,"ConnectionResetError(54, 'Connection reset by peer')",1
GET,/wishlist/5ff4525c-bd06-4af6-af6f-3033edf6db7f,HTTPError('404 Client Error: Not Found for url: /wishlist/5ff4525c-bd06-4af6-af6f-3033edf6db7f'),1
DELETE,/wishlist/5f2d4718-0fde-49c2-a4b8-24e991e9822e,"ConnectionResetError(54, 'Connection reset by peer')",1
PUT,/wishlist/e3202a57-79d2-48c7-8b85-fedc9576f8cf,"ConnectionResetError(54, 'Connection reset by peer')",1
PUT,/wishlist/d923f885-a6d6-4df9-a6a0-6f268aaf8637,"ConnectionResetError(54, 'Connection reset by peer')",1
DELETE,/wishlist/c02706b6-1946-4afe-b3dc-2256b02e4ee9,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/c02706b6-1946-4afe-b3dc-2256b02e4ee9'),1
DELETE,/wishlist/a2c51ee3-bca1-49c2-b416-b5fbeca84f66,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='34.143.200.223', port=30287): Read timed out. (read timeout=None)""))",1
PUT,/wishlist/14261ec9-d1de-4e6f-953d-3627b36f1bdd,HTTPError('401 Client Error: Unauthorized for url: /wishlist/14261ec9-d1de-4e6f-953d-3627b36f1bdd'),1
PUT,/wishlist/287c1d99-199d-4ae4-91a4-f8c8ffcf342b,"ConnectionResetError(54, 'Connection reset by peer')",1
GET,/wishlist/c9574882-1c40-4309-975c-16b36ab38b31,"ConnectionResetError(54, 'Connection reset by peer')",1
DELETE,/wishlist/17498fd6-1351-4ac3-a50f-ad16fae9a603,"ConnectionResetError(54, 'Connection reset by peer')",1
PUT,/wishlist/b087e291-73b6-4928-8f04-7568f8819bb1,"ConnectionResetError(54, 'Connection reset by peer')",1
GET,/wishlist/09e50d50-129d-4986-b978-f4e6bb8f77c2,"ConnectionResetError(54, 'Connection reset by peer')",1
GET,/wishlist/f963c088-7a5e-4789-8cc4-d35949aa1292,HTTPError('404 Client Error: Not Found for url: /wishlist/f963c088-7a5e-4789-8cc4-d35949aa1292'),1
PUT,/wishlist/9bf04497-d87e-48b7-9458-ea13cce22408,"ConnectionResetError(54, 'Connection reset by peer')",1
DELETE,/wishlist/759ed2a7-37da-4b24-961a-360f871eaf9e,"ConnectionResetError(54, 'Connection reset by peer')",1
PUT,/wishlist/7aa6adba-5117-4186-b86d-f82750f4a42f,"ConnectionResetError(54, 'Connection reset by peer')",1
GET,/wishlist/f4f04b5b-5a68-4208-811d-e043518d7f10,HTTPError('404 Client Error: Not Found for url: /wishlist/f4f04b5b-5a68-4208-811d-e043518d7f10'),1
DELETE,/wishlist/9ef9849b-c185-44ce-a88b-8ebffc8e99eb,"ConnectionResetError(54, 'Connection reset by peer')",1
DELETE,/wishlist/e4b64ac6-6c49-41f6-8cef-7fe8677e0e12,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/e4b64ac6-6c49-41f6-8cef-7fe8677e0e12'),1
GET,/wishlist/72e1cd1b-5476-4d41-8cac-1704461b60b6,"ConnectionResetError(54, 'Connection reset by peer')",1
GET,/wishlist/203337d1-2973-4c1a-af59-0734b12bc5c8,"ConnectionResetError(54, 'Connection reset by peer')",1
DELETE,/wishlist/0eb7cb11-e84c-4cf2-90b5-d5ca06cbdb82,"ConnectionResetError(54, 'Connection reset by peer')",1
GET,/wishlist/8dbacae7-f7c2-4933-9485-dd37f7ce9291,HTTPError('401 Client Error: Unauthorized for url: /wishlist/8dbacae7-f7c2-4933-9485-dd37f7ce9291'),1
DELETE,/wishlist/03324f56-d692-4967-8ef9-7130586ecfa9,"ConnectionResetError(54, 'Connection reset by peer')",1
