Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/product,393,162,3000.0,3784.513074249343,55.2230100001907,49006.5209280001,155.17557251908397,0.6568682472690137,0.2707701171948606,3000,3000,3000,3000,6000,16000,23000,47000,49000,49000,49000
POST,/user/login,411,189,2900.0,7040.898862610728,9.55578299908666,306820.7084629976,152.05352798053528,0.6869538158462204,0.31589847006067073,2900,3100,5200,7000,15000,23000,33000,44000,307000,307000,307000
POST,/user/register,459,184,3000.0,4850.860897178718,6.107444998633582,315119.74031700083,168.35511982570807,0.7671819987187717,0.3075413676781133,3000,3000,3000,4200,8400,17000,33000,48000,315000,315000,315000
GET,/wishlist,241,51,2200.0,5582.758733614249,63.33543099754024,305150.9695690038,121.65975103734439,0.4028123348392679,0.08524244430208575,2200,3000,3900,4400,10000,22000,33000,43000,305000,305000,305000
POST,/wishlist,259,94,3000.0,4790.228735559862,10.769280001113657,49218.595453006856,130.5984555984556,0.43289790341647466,0.1571135247920796,3000,3000,3800,4200,10000,22000,34000,48000,49000,49000,49000
DELETE,/wishlist/020f852d-611b-44aa-bee1-64362efca810,1,1,302489.8690379996,302489.8690379996,302489.8690379996,302489.8690379996,0.0,0.0016714204765114853,0.0016714204765114853,302000,302000,302000,302000,302000,302000,302000,302000,302000,302000,302000
GET,/wishlist/020f852d-611b-44aa-bee1-64362efca810,1,0,914.2820070046582,914.2820070046582,914.2820070046582,914.2820070046582,150.0,0.0016714204765114853,0.0,910,910,910,910,910,910,910,910,910,910,910
PUT,/wishlist/020f852d-611b-44aa-bee1-64362efca810,1,0,34411.950440997316,34411.950440997316,34411.950440997316,34411.950440997316,113.0,0.0016714204765114853,0.0,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000,34000
DELETE,/wishlist/033773cb-0451-4024-8e9c-938f07bb8e99,1,0,2121.5956160012865,2121.5956160012865,2121.5956160012865,2121.5956160012865,213.0,0.0016714204765114853,0.0,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,/wishlist/033773cb-0451-4024-8e9c-938f07bb8e99,1,1,1854.3328829982784,1854.3328829982784,1854.3328829982784,1854.3328829982784,31.0,0.0016714204765114853,0.0016714204765114853,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900,1900
PUT,/wishlist/033773cb-0451-4024-8e9c-938f07bb8e99,1,0,14598.320005999994,14598.320005999994,14598.320005999994,14598.320005999994,113.0,0.0016714204765114853,0.0,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
DELETE,/wishlist/03b9523d-7ee1-4c90-89fe-1c0736864e93,1,0,355.8691030048067,355.8691030048067,355.8691030048067,355.8691030048067,213.0,0.0016714204765114853,0.0,360,360,360,360,360,360,360,360,360,360,360
GET,/wishlist/03b9523d-7ee1-4c90-89fe-1c0736864e93,1,1,347.82320899830665,347.82320899830665,347.82320899830665,347.82320899830665,31.0,0.0016714204765114853,0.0016714204765114853,350,350,350,350,350,350,350,350,350,350,350
PUT,/wishlist/03b9523d-7ee1-4c90-89fe-1c0736864e93,1,0,86.20665800117422,86.20665800117422,86.20665800117422,86.20665800117422,113.0,0.0016714204765114853,0.0,86,86,86,86,86,86,86,86,86,86,86
DELETE,/wishlist/04b0cd10-f441-40b4-bf1a-1072e83f075d,2,1,331.9327110002632,967.7826584993454,331.9327110002632,1603.6326059984276,122.5,0.0033428409530229706,0.0016714204765114853,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600,1600
GET,/wishlist/04b0cd10-f441-40b4-bf1a-1072e83f075d,3,2,400.0,937.8669529978652,66.99219399888534,2350.7692889979808,70.66666666666667,0.005014261429534456,0.0033428409530229706,400,400,2400,2400,2400,2400,2400,2400,2400,2400,2400
PUT,/wishlist/04b0cd10-f441-40b4-bf1a-1072e83f075d,2,0,66.87523400614737,66.73486800355022,66.59450200095307,66.87523400614737,56.5,0.0033428409530229706,0.0,67,67,67,67,67,67,67,67,67,67,67
DELETE,/wishlist/055fb10e-abb4-43e9-9e6c-3aba8a816eb9,1,0,67.05694400443463,67.05694400443463,67.05694400443463,67.05694400443463,213.0,0.0016714204765114853,0.0,67,67,67,67,67,67,67,67,67,67,67
GET,/wishlist/055fb10e-abb4-43e9-9e6c-3aba8a816eb9,1,1,3021.4763289986877,3021.4763289986877,3021.4763289986877,3021.4763289986877,0.0,0.0016714204765114853,0.0016714204765114853,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
PUT,/wishlist/055fb10e-abb4-43e9-9e6c-3aba8a816eb9,1,0,784.6953209955245,784.6953209955245,784.6953209955245,784.6953209955245,113.0,0.0016714204765114853,0.0,780,780,780,780,780,780,780,780,780,780,780
DELETE,/wishlist/0658557e-4751-4040-b6a2-4ee266962692,2,2,341.7789890008862,1231.7368615003943,341.7789890008862,2121.6947339999024,167.0,0.0033428409530229706,0.0033428409530229706,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100,2100
GET,/wishlist/0658557e-4751-4040-b6a2-4ee266962692,2,2,3014.0391439999803,17750.596216003032,3014.0391439999803,32487.153288006084,30.0,0.0033428409530229706,0.0033428409530229706,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000
PUT,/wishlist/0658557e-4751-4040-b6a2-4ee266962692,2,0,302.3574530016049,9315.933581499849,302.3574530016049,18329.509709998092,113.0,0.0033428409530229706,0.0,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000,18000
DELETE,/wishlist/06617324-dd33-4a55-8292-0fe8eff3d3b7,1,1,11290.83439000533,11290.83439000533,11290.83439000533,11290.83439000533,167.0,0.0016714204765114853,0.0016714204765114853,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000,11000
GET,/wishlist/06617324-dd33-4a55-8292-0fe8eff3d3b7,1,0,895.5465210019611,895.5465210019611,895.5465210019611,895.5465210019611,150.0,0.0016714204765114853,0.0,900,900,900,900,900,900,900,900,900,900,900
PUT,/wishlist/06617324-dd33-4a55-8292-0fe8eff3d3b7,1,0,15562.42219699925,15562.42219699925,15562.42219699925,15562.42219699925,113.0,0.0016714204765114853,0.0,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000
DELETE,/wishlist/0b586154-3fc9-422a-b2d3-b98c48272b1d,3,2,1400.0,7995.960593667405,65.20875700516626,22534.665932995267,79.0,0.005014261429534456,0.0033428409530229706,1400,1400,23000,23000,23000,23000,23000,23000,23000,23000,23000
GET,/wishlist/0b586154-3fc9-422a-b2d3-b98c48272b1d,3,3,3100.0,4833.303214332166,65.00228700315347,11354.268666997086,31.0,0.005014261429534456,0.005014261429534456,3100,3100,11000,11000,11000,11000,11000,11000,11000,11000,11000
PUT,/wishlist/0b586154-3fc9-422a-b2d3-b98c48272b1d,3,1,3100.0,2448.8239116665986,68.50064900208963,4191.19733399566,0.0,0.005014261429534456,0.0016714204765114853,3100,3100,4200,4200,4200,4200,4200,4200,4200,4200,4200
DELETE,/wishlist/0d16dbf5-adba-4afa-aa22-80e87eaf0aed,1,0,5004.632654003217,5004.632654003217,5004.632654003217,5004.632654003217,213.0,0.0016714204765114853,0.0,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
GET,/wishlist/0d16dbf5-adba-4afa-aa22-80e87eaf0aed,1,0,423.2516820047749,423.2516820047749,423.2516820047749,423.2516820047749,150.0,0.0016714204765114853,0.0,420,420,420,420,420,420,420,420,420,420,420
