Method,Name,Error,Occurrences
DELETE,/wishlist/f57c5748-6bef-4978-92fe-5bd313bcaf1d,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/f57c5748-6bef-4978-92fe-5bd313bcaf1d'),1
GET,/wishlist/de56d1dd-bcb0-409f-bf72-a2aae72a0309,HTTPError('404 Client Error: Not Found for url: /wishlist/de56d1dd-bcb0-409f-bf72-a2aae72a0309'),2
GET,/wishlist/802dc739-5a16-4527-9486-711420589499,HTTPError('404 Client Error: Not Found for url: /wishlist/802dc739-5a16-4527-9486-711420589499'),2
GET,/wishlist,"ConnectionResetError(54, 'Connection reset by peer')",71
GET,/wishlist/de636ca7-1a72-4d12-89bf-8a510af52956,HTTPError('404 Client Error: Not Found for url: /wishlist/de636ca7-1a72-4d12-89bf-8a510af52956'),1
DELETE,/wishlist/3e23e87c-3643-49aa-85c7-1b3604efb1cf,HTTPError('401 Client Error: Unauthorized for url: /wishlist/3e23e87c-3643-49aa-85c7-1b3604efb1cf'),1
GET,/wishlist/ca3c3e03-23af-4c36-9282-52901d8e6fbd,HTTPError('401 Client Error: Unauthorized for url: /wishlist/ca3c3e03-23af-4c36-9282-52901d8e6fbd'),1
PUT,/wishlist/7a340076-c801-4889-ac35-0b417b08b205,"ConnectionResetError(54, 'Connection reset by peer')",1
DELETE,/wishlist/remove,HTTPError('401 Client Error: Unauthorized for url: /wishlist/remove'),115
GET,/wishlist/e01a6d62-5608-480e-aa6f-f66595709cf5,HTTPError('404 Client Error: Not Found for url: /wishlist/e01a6d62-5608-480e-aa6f-f66595709cf5'),1
PUT,/wishlist/9473cd8f-6772-45d9-9fff-e6a2a72169a7,HTTPError('401 Client Error: Unauthorized for url: /wishlist/9473cd8f-6772-45d9-9fff-e6a2a72169a7'),1
GET,/wishlist/60bf0bfb-794d-4a85-9460-d5731ad78456,HTTPError('401 Client Error: Unauthorized for url: /wishlist/60bf0bfb-794d-4a85-9460-d5731ad78456'),1
GET,/wishlist/8202881a-7836-4576-a3cb-60aa364061a6,HTTPError('404 Client Error: Not Found for url: /wishlist/8202881a-7836-4576-a3cb-60aa364061a6'),1
GET,/wishlist/9fac24fa-fa20-49c6-8458-9b83a12060a1,HTTPError('404 Client Error: Not Found for url: /wishlist/9fac24fa-fa20-49c6-8458-9b83a12060a1'),1
DELETE,/wishlist/8040fc80-be82-4675-83c3-355347f97459,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/8040fc80-be82-4675-83c3-355347f97459'),1
GET,/wishlist/cca4a1fa-e902-4a34-90df-33de13ad03d3,HTTPError('404 Client Error: Not Found for url: /wishlist/cca4a1fa-e902-4a34-90df-33de13ad03d3'),1
GET,/wishlist/7f726ea8-3ee3-4bd5-981a-aa5ff2648197,HTTPError('401 Client Error: Unauthorized for url: /wishlist/7f726ea8-3ee3-4bd5-981a-aa5ff2648197'),1
DELETE,/wishlist/9c620e0f-0c2c-4598-8b93-ca0e4558a318,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/9c620e0f-0c2c-4598-8b93-ca0e4558a318'),1
DELETE,/wishlist/b05847e3-a1b0-418b-ab3e-e5d8ec72b827,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/b05847e3-a1b0-418b-ab3e-e5d8ec72b827'),1
GET,/wishlist/9bff21bc-21d1-4033-a778-976952ad09c2,HTTPError('401 Client Error: Unauthorized for url: /wishlist/9bff21bc-21d1-4033-a778-976952ad09c2'),1
GET,/wishlist/488b9288-e69a-419e-878a-143a1bf3ed59,HTTPError('403 Client Error: Forbidden for url: /wishlist/488b9288-e69a-419e-878a-143a1bf3ed59'),1
GET,/wishlist/c8e6dad6-9023-41ee-8a26-24d3c8b6846e,HTTPError('401 Client Error: Unauthorized for url: /wishlist/c8e6dad6-9023-41ee-8a26-24d3c8b6846e'),1
DELETE,/wishlist/2bff1628-8fbb-46ba-897f-e1d2d786bc96,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/2bff1628-8fbb-46ba-897f-e1d2d786bc96'),2
GET,/wishlist/4cbdc0fa-d363-47ec-ae4d-762f44d53968,HTTPError('404 Client Error: Not Found for url: /wishlist/4cbdc0fa-d363-47ec-ae4d-762f44d53968'),1
GET,/wishlist/50dd623b-1150-476b-884e-b7c690e7b958,HTTPError('401 Client Error: Unauthorized for url: /wishlist/50dd623b-1150-476b-884e-b7c690e7b958'),1
GET,/wishlist/65f536f8-dead-4868-b260-aa65cb7437e9,HTTPError('401 Client Error: Unauthorized for url: /wishlist/65f536f8-dead-4868-b260-aa65cb7437e9'),1
PUT,/wishlist/589c78e3-7dbb-444b-9006-4e91fc9e7c3f,HTTPError('401 Client Error: Unauthorized for url: /wishlist/589c78e3-7dbb-444b-9006-4e91fc9e7c3f'),1
GET,/wishlist/e68d75ab-10c5-4b34-a129-fbaaae0a3f7b,"ConnectionResetError(54, 'Connection reset by peer')",1
DELETE,/wishlist/41e81b98-be39-4d35-a487-2f7611e1e667,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/41e81b98-be39-4d35-a487-2f7611e1e667'),1
GET,/wishlist/bdc206d4-ed42-4476-8104-44218c916b6b,HTTPError('404 Client Error: Not Found for url: /wishlist/bdc206d4-ed42-4476-8104-44218c916b6b'),1
DELETE,/wishlist/8c514d63-4bd5-4ee8-9dd4-b118c1b3f8e8,HTTPError('401 Client Error: Unauthorized for url: /wishlist/8c514d63-4bd5-4ee8-9dd4-b118c1b3f8e8'),1
DELETE,/wishlist/80d15af0-7f64-43cd-92c7-12bebd6a1069,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/80d15af0-7f64-43cd-92c7-12bebd6a1069'),1
PUT,/wishlist/1d53f18d-2666-4754-b703-1194ea6341ae,HTTPError('401 Client Error: Unauthorized for url: /wishlist/1d53f18d-2666-4754-b703-1194ea6341ae'),2
DELETE,/wishlist/c1358ae8-d42e-41c1-831c-460371f59d8f,HTTPError('401 Client Error: Unauthorized for url: /wishlist/c1358ae8-d42e-41c1-831c-460371f59d8f'),1
DELETE,/wishlist/147ff7b5-6566-4e26-b177-3c59c4883627,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/147ff7b5-6566-4e26-b177-3c59c4883627'),2
PUT,/wishlist/b85bf0fc-4e3b-43b2-a7c6-64178a8d402c,HTTPError('401 Client Error: Unauthorized for url: /wishlist/b85bf0fc-4e3b-43b2-a7c6-64178a8d402c'),1
PUT,/wishlist/314297fe-f27a-4c0b-97ea-91e535f95c52,HTTPError('401 Client Error: Unauthorized for url: /wishlist/314297fe-f27a-4c0b-97ea-91e535f95c52'),1
DELETE,/wishlist/3d65e2d5-9759-4956-9751-9db481cad978,HTTPError('401 Client Error: Unauthorized for url: /wishlist/3d65e2d5-9759-4956-9751-9db481cad978'),1
GET,/wishlist/7d5ab074-969d-4d06-a5d2-35ef129cd50e,HTTPError('404 Client Error: Not Found for url: /wishlist/7d5ab074-969d-4d06-a5d2-35ef129cd50e'),1
GET,/wishlist/6d1b613a-6371-42a4-8c47-62f0fbbaf865,HTTPError('404 Client Error: Not Found for url: /wishlist/6d1b613a-6371-42a4-8c47-62f0fbbaf865'),2
GET,/wishlist/8c447bf2-3c35-4ec9-9218-a677a6144fd1,HTTPError('404 Client Error: Not Found for url: /wishlist/8c447bf2-3c35-4ec9-9218-a677a6144fd1'),1
DELETE,/wishlist/ee6f1928-b12b-4277-9b88-a43cddc78003,HTTPError('500 Server Error: Internal Server Error for url: /wishlist/ee6f1928-b12b-4277-9b88-a43cddc78003'),1
GET,/wishlist/3610cd24-6d4b-4e41-a859-15fa2800acc2,HTTPError('404 Client Error: Not Found for url: /wishlist/3610cd24-6d4b-4e41-a859-15fa2800acc2'),1
GET,/wishlist/879c74a5-96e8-42c5-8a52-bb90eb53bce0,"ReadTimeout(ReadTimeoutError(""HTTPConnectionPool(host='34.143.200.223', port=31940): Read timed out. (read timeout=None)""))",1
